mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	6	2/4	1/2	0						firstMeasure	2
2	2	6	2/4	1/2	0					line		3
3	3	6	2/4	1/2	0							4
4	4	6	2/4	1/2	0							5
5	5	6	2/4	1/2	0					line		6
6	6	6	2/4	1/2	0							7
7	7	6	2/4	1/2	0							8
8	8	6	2/4	1/2	0					line		9
9	9	6	2/4	1/2	0							10
10	10	6	2/4	1/2	0							11
11	11	6	2/4	1/2	0					line		12
12	12	6	2/4	1/2	0							13
13	13	6	2/4	1/2	0							14
14	14	6	2/4	1/2	0					page		15
15	15	6	2/4	1/2	0							16
16	16	6	2/4	1/2	0							17
17	17	6	2/4	1/2	0					line		18
18	18	6	2/4	1/2	0							19
19	19	6	2/4	1/2	0							20
20	20	6	2/4	1/2	0					line		21
21	21	6	2/4	1/2	0							22
22	22	6	2/4	1/2	0							23
23	23	6	2/4	1/2	0					line		24
24	24	6	2/4	1/2	0							25
25	25	6	2/4	1/2	0							26
26	26	6	2/4	1/2	0					line		27
27	27	6	2/4	1/2	0							28
28	28	6	2/4	1/2	0							29
29	29	6	2/4	1/2	0							30
30	30	6	2/4	1/2	0							31
31	31	6	2/4	1/2	0				end		lastMeasure	-1
