mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	5	4/4	1	0	firstMeasure					2
2	2	5	4/4	1	0						3
3	3	5	4/4	1	0						4
4	4	5	4/4	1	0						5
5	5	5	4/4	1	0						6
6	6	5	4/4	1	0						7
7	7	5	4/4	1	0						8
8	8	5	4/4	1	0						9
9	9	5	4/4	1	0						10
10	10	5	4/4	1	0						11
11	11	5	4/4	1	0						12
12	12	5	4/4	1	0						13
13	13	5	4/4	1	0						14
14	14	5	4/4	1	0						15
15	15	5	4/4	1	0						16
16	16	5	4/4	1	0						17
17	17	5	4/4	1	0						18
18	18	5	4/4	1	0						19
19	19	5	4/4	1	0						20
20	20	5	4/4	1	0						21
21	21	5	4/4	1	0						22
22	22	5	4/4	1	0						23
23	23	5	4/4	1	0						24
24	24	5	4/4	1	0						25
25	25	5	4/4	1	0						26
26	26	5	4/4	1	0						27
27	27	5	4/4	1	0						28
28	28	5	4/4	1	0						29
29	29	5	4/4	1	0						30
30	30	5	4/4	1	0	lastMeasure		end			-1
