mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	4	3/4	3/4	0						firstMeasure	2
2	2	4	3/4	3/4	0							3
3	3	4	3/4	3/4	0							4
4	4	4	3/4	3/4	0							5
5	5	4	3/4	3/4	0					line		6
6	6	4	3/4	3/4	0							7
7	7	4	3/4	3/4	0							8
8	8	4	3/4	3/4	0							9
9	9	4	3/4	3/4	0							10
10	10	4	3/4	3/4	0					line		11
11	11	4	3/4	3/4	0							12
12	12	4	3/4	3/4	0							13
13	13	4	3/4	3/4	0							14
14	14	4	3/4	3/4	0				double	line		15
15	15	0	3/4	3/4	0							16
16	16	0	3/4	3/4	0							17
17	17	0	3/4	3/4	0							18
18	18	0	3/4	3/4	0							19
19	19	0	3/4	3/4	0							20
20	20	0	3/4	3/4	0					line		21
21	21	0	3/4	3/4	0							22
22	22	0	3/4	3/4	0							23
23	23	0	3/4	3/4	0							24
24	24	0	3/4	3/4	0							25
25	25	0	3/4	3/4	0							26
26	26	0	3/4	3/4	0					line		27
27	27	0	3/4	3/4	0							28
28	28	0	3/4	3/4	0							29
29	29	0	3/4	3/4	0							30
30	30	0	3/4	3/4	0							31
31	31	0	3/4	3/4	0							32
32	32	0	3/4	3/4	0				double	line		33
33	33	4	3/4	3/4	0							34
34	34	4	3/4	3/4	0							35
35	35	4	3/4	3/4	0							36
36	36	4	3/4	3/4	0							37
37	37	4	3/4	3/4	0					line		38
38	38	4	3/4	3/4	0							39
39	39	4	3/4	3/4	0							40
40	40	4	3/4	3/4	0							41
41	41	4	3/4	3/4	0							42
42	42	4	3/4	3/4	0					line		43
43	43	4	3/4	3/4	0							44
44	44	4	3/4	3/4	0							45
45	45	4	3/4	3/4	0							46
46	46	4	3/4	3/4	0							47
47	47	4	3/4	3/4	0							48
48	48	4	3/4	3/4	0					line		49
49	49	4	3/4	3/4	0							50
50	50	4	3/4	3/4	0							51
51	51	4	3/4	3/4	0							52
52	52	4	3/4	3/4	0							53
53	53	4	3/4	3/4	0					line		54
54	54	4	3/4	3/4	0							55
55	55	4	3/4	3/4	0							56
56	56	4	3/4	3/4	0							57
57	57	4	3/4	3/4	0							58
58	58	4	3/4	3/4	0							59
59	59	4	3/4	3/4	0					line		60
60	60	4	3/4	3/4	0							61
61	61	4	3/4	3/4	0							62
62	62	4	3/4	3/4	0							63
63	63	4	3/4	3/4	0							64
64	64	4	3/4	3/4	0					line		65
65	65	4	3/4	3/4	0							66
66	66	4	3/4	3/4	0							67
67	67	4	3/4	3/4	0							68
68	68	4	3/4	3/4	0							69
69	69	4	3/4	3/4	0							70
70	70	4	3/4	3/4	0							71
71	71	4	3/4	3/4	0							72
72	72	4	3/4	3/4	0				end		lastMeasure	-1
