mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	4/4	3	2	3/4	1/2	3/2		9	51	D#3	3	19
1	1	1/4	1/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	4
1	1	1/4	1/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	4
1	1	1/2	1/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	12
1	1	3/4	3/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	5
1	1	3/4	3/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	5
1	1	1	1	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		10	58	A#3	3	13
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		10	70	A#4	4	1
1	1	5/4	5/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	6
1	1	5/4	5/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	6
1	1	3/2	3/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	14
1	1	7/4	7/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	7
1	1	7/4	7/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	7
1	1	2	2	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		10	58	A#3	3	15
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	75	D#5	5	2
1	1	9/4	9/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	8
1	1	9/4	9/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	8
1	1	5/2	5/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	16
1	1	11/4	11/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	9
1	1	11/4	11/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	9
1	1	3	3	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		7	49	C#3	3	17
1	1	3	3	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		7	49	C#3	3	20
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	0
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	70	A#4	4	3
1	1	13/4	13/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	10
1	1	13/4	13/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	10
1	1	7/2	7/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	18
1	1	15/4	15/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	11
1	1	15/4	15/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	11
2	2	4	4	0.5	0	0	4/4	3	1	1/8	1/8	1		12	48	B#2	2	36
2	2	4	4	2.0	0	0	4/4	3	2	1/2	1/2	1		12	48	B#2	2	44
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	21
2	2	4	4	4.0	0	0	4/4	2	1	1	1	1	1	8	68	G#4	4	27
2	2	17/4	17/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	28
2	2	17/4	17/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	28
2	2	9/2	9/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		8	56	G#3	3	37
2	2	19/4	19/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	29
2	2	19/4	19/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	29
2	2	5	5	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		8	56	G#3	3	38
2	2	5	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	22
2	2	21/4	21/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	30
2	2	21/4	21/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	30
2	2	11/2	11/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		8	56	G#3	3	39
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		8	68	G#4	4	23
2	2	23/4	23/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	31
2	2	23/4	23/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	31
2	2	6	6	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		7	49	C#3	3	40
2	2	6	6	1.0	1/2	1/2	4/4	3	2	1/4	1/4	1		7	49	C#3	3	45
2	2	6	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	24
2	2	25/4	25/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	32
2	2	25/4	25/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	32
2	2	13/2	13/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		8	56	G#3	3	41
2	2	27/4	27/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	33
2	2	27/4	27/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	33
2	2	7	7	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		5	47	B2	2	42
2	2	7	7	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		5	47	B2	2	46
2	2	7	7	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	25
2	2	29/4	29/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	34
2	2	29/4	29/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	34
2	2	15/2	15/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		8	56	G#3	3	43
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	26
2	2	31/4	31/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	35
2	2	31/4	31/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	35
3	3	8	8	0.5	0	0	4/4	3	1	1/8	1/8	1		10	46	A#2	2	62
3	3	8	8	3.0	0	0	4/4	3	2	3/4	1/2	3/2		10	46	A#2	2	70
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	8	68	G#4	4	50
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	47
3	3	33/4	33/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	54
3	3	33/4	33/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	54
3	3	17/2	17/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	63
3	3	35/4	35/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	55
3	3	35/4	35/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	55
3	3	9	9	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		6	54	F#3	3	64
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	48
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	51
3	3	37/4	37/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	56
3	3	37/4	37/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	56
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	65
3	3	39/4	39/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	57
3	3	39/4	39/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	57
3	3	10	10	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		6	54	F#3	3	66
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	73	C#5	5	52
3	3	41/4	41/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	58
3	3	41/4	41/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	58
3	3	21/2	21/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	67
3	3	43/4	43/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	59
3	3	43/4	43/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	59
3	3	11	11	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		10	46	A#2	2	68
3	3	11	11	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		10	46	A#2	2	71
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	49
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	6	66	F#4	4	53
3	3	45/4	45/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	60
3	3	45/4	45/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	60
3	3	23/2	23/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	69
3	3	47/4	47/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		7	61	C#4	4	61
3	3	47/4	47/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		4	64	E4	4	61
4	4	12	12	0.5	0	0	4/4	3	2	1/8	1/8	1		5	47	B2	2	87
4	4	12	12	0.75	0	0	4/4	1	1	3/16	1/8	3/2		6	66	F#4	4	72
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	6	66	F#4	4	78
4	4	49/4	49/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		5	59	B3	3	85
4	4	49/4	49/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	85
4	4	25/2	25/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		6	54	F#3	3	88
4	4	51/4	51/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		5	59	B3	3	86
4	4	51/4	51/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	86
4	4	51/4	51/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	73
4	4	13	13	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		9	63	D#4	4	89
4	4	13	13	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	74
4	4	53/4	53/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	79
4	4	53/4	53/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		5	71	B4	4	79
4	4	27/2	27/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		9	63	D#4	4	90
4	4	27/2	27/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	75
4	4	55/4	55/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	80
4	4	55/4	55/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		5	71	B4	4	80
4	4	14	14	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		7	61	C#4	4	91
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		10	70	A#4	4	76
4	4	57/4	57/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	81
4	4	57/4	57/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		10	70	A#4	4	81
4	4	29/2	29/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		7	61	C#4	4	92
4	4	59/4	59/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	82
4	4	59/4	59/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		10	70	A#4	4	82
4	4	15	15	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		5	59	B3	3	93
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	77
4	4	61/4	61/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		9	63	D#4	4	83
4	4	61/4	61/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		8	68	G#4	4	83
4	4	31/2	31/2	0.5	7/8	7/8	4/4	3	2	1/8	1/8	1		5	59	B3	3	94
4	4	63/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		9	63	D#4	4	84
4	4	63/4	63/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		8	68	G#4	4	84
5	5	16	16	0.5	0	0	4/4	3	2	1/8	1/8	1		10	58	A#3	3	117
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	95
5	5	65/4	65/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		7	61	C#4	4	103
5	5	65/4	65/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	103
5	5	33/2	33/2	0.5	1/8	1/8	4/4	3	2	1/8	1/8	1		10	58	A#3	3	118
5	5	67/4	67/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		7	61	C#4	4	104
5	5	67/4	67/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	104
5	5	17	17	3.0	1/4	1/4	4/4	3	2	3/4	1/2	3/2	1	6	54	F#3	3	119
5	5	17	17	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		9	63	D#4	4	111
5	5	17	17	0.75	1/4	1/4	4/4	1	1	3/16	1/8	3/2		5	71	B4	4	96
5	5	69/4	69/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	105
5	5	69/4	69/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		5	71	B4	4	105
5	5	35/2	35/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		9	63	D#4	4	112
5	5	71/4	71/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	106
5	5	71/4	71/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	97
5	5	71/4	71/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		5	71	B4	4	106
5	5	18	18	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		7	61	C#4	4	113
5	5	18	18	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		10	70	A#4	4	98
5	5	73/4	73/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	107
5	5	73/4	73/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		10	70	A#4	4	107
5	5	37/2	37/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		7	61	C#4	4	114
5	5	37/2	37/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		10	70	A#4	4	99
5	5	75/4	75/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	108
5	5	75/4	75/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		10	70	A#4	4	108
5	5	19	19	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		5	59	B3	3	115
5	5	19	19	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	100
5	5	77/4	77/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		9	63	D#4	4	109
5	5	77/4	77/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		8	68	G#4	4	109
5	5	39/2	39/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		5	59	B3	3	116
5	5	39/2	39/2	0.25	7/8	7/8	4/4	1	1	1/16	1/16	1		8	68	G#4	4	101
5	5	79/4	79/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		9	63	D#4	4	110
5	5	79/4	79/4	0.25	15/16	15/16	4/4	1	1	1/16	1/16	1		8	68	G#4	4	102
5	5	79/4	79/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		8	68	G#4	4	110
6	6	20	20	1.0	0	0	4/4	3	2	1/4	1/4	1	-1	6	54	F#3	3	138
6	6	20	20	0.5	0	0	4/4	3	1	1/8	1/8	1		10	58	A#3	3	136
6	6	20	20	0.5	0	0	4/4	1	1	1/8	1/8	1		6	66	F#4	4	120
6	6	81/4	81/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		7	61	C#4	4	128
6	6	81/4	81/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	128
6	6	41/2	41/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	137
6	6	41/2	41/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	121
6	6	83/4	83/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		7	61	C#4	4	129
6	6	83/4	83/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	129
6	6	21	21	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		10	58	A#3	3	139
6	6	21	21	0.5	1/4	1/4	4/4	3	2	1/8	1/8	1		5	59	B3	3	139
6	6	85/4	85/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	130
6	6	85/4	85/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		9	75	D#5	5	130
6	6	43/2	43/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		10	58	A#3	3	140
6	6	43/2	43/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		5	59	B3	3	140
6	6	43/2	43/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		9	75	D#5	5	122
6	6	87/4	87/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		6	66	F#4	4	131
6	6	87/4	87/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		9	75	D#5	5	131
6	6	22	22	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		8	56	G#3	3	141
6	6	22	22	0.5	1/2	1/2	4/4	3	2	1/8	1/8	1		5	59	B3	3	141
6	6	22	22	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5	123
6	6	89/4	89/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		11	65	E#4	4	132
6	6	89/4	89/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		7	73	C#5	5	132
6	6	45/2	45/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		8	56	G#3	3	142
6	6	45/2	45/2	0.5	5/8	5/8	4/4	3	2	1/8	1/8	1		5	59	B3	3	142
6	6	45/2	45/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	124
6	6	91/4	91/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		11	65	E#4	4	133
6	6	91/4	91/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		7	73	C#5	5	133
6	6	23	23	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		7	49	C#3	3	143
6	6	23	23	0.5	3/4	3/4	4/4	3	2	1/8	1/8	1		7	61	C#4	4	143
6	6	23	23	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	125
