mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0	0	0	4/4	3	2	3/4	1/2	3/2		9	51	D#3	3	19
1	1	1/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	4
1	1	1/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	4
1	1	1/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	12
1	1	3/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	5
1	1	3/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	5
1	1	1	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		10	58	A#3	3	13
1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		10	70	A#4	4	1
1	1	5/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	6
1	1	5/4	0.25	5/16	5/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	6
1	1	3/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	14
1	1	7/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	7
1	1	7/4	0.25	7/16	7/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	7
1	1	2	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		10	58	A#3	3	15
1	1	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	75	D#5	5	2
1	1	9/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	8
1	1	9/4	0.25	9/16	9/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	8
1	1	5/2	0.5	5/8	5/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	16
1	1	11/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	9
1	1	11/4	0.25	11/16	11/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	9
1	1	3	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		7	49	C#3	3	17
1	1	3	1.0	3/4	3/4	4/4	3	2	1/4	1/4	1		7	49	C#3	3	20
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	0
1	1	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	70	A#4	4	3
1	1	13/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	10
1	1	13/4	0.25	13/16	13/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	10
1	1	7/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		10	58	A#3	3	18
1	1	15/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	11
1	1	15/4	0.25	15/16	15/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	11
2	2	4	0.5	0	0	4/4	3	1	1/8	1/8	1		12	48	B#2	2	36
2	2	4	2.0	0	0	4/4	3	2	1/2	1/2	1		12	48	B#2	2	44
2	2	4	1.0	0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	21
2	2	4	4.0	0	0	4/4	2	1	1	1	1	1	8	68	G#4	4	27
2	2	17/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	28
2	2	17/4	0.25	1/16	1/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	28
2	2	9/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		8	56	G#3	3	37
2	2	19/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		9	63	D#4	4	29
2	2	19/4	0.25	3/16	3/16	4/4	2	2	1/16	1/16	1		6	66	F#4	4	29
2	2	5	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		8	56	G#3	3	38
2	2	5	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		8	68	G#4	4	22
