mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	3/4	3	2	3/4		1/2	3/2		4	40	E2	2	5
1	1	1	1	2.0	1/4	1/4	3/4	3	1	1/2		1/2	1	1	5	47	B2	2	4
1	1	1	1	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		8	56	G#3	3	0
1	1	1	1	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		4	64	E4	4	0
1	1	3/2	3/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	1
1	1	3/2	3/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		6	66	F#4	4	1
1	1	2	2	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64	E4	4	2
1	1	2	2	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		8	68	G#4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		6	66	F#4	4	3
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		3	69	A4	4	3
2	2	3	3	3.0	0	0	3/4	3	2	3/4		1/2	3/2		5	35	B1	1	13
2	2	3	3	1.0	0	0	3/4	3	1	1/4		1/4	1	-1	5	47	B2	2	11
2	2	3	3	1.0	0	0	3/4	2	1	1/4		1/4	1		4	64	E4	4	6
2	2	3	3	1.0	0	0	3/4	2	1	1/4		1/4	1		8	68	G#4	4	6
2	2	4	4	2.0	1/4	1/4	3/4	3	1	1/2		1/2	1	1	5	47	B2	2	12
2	2	4	4	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		9	63	D#4	4	7
2	2	4	4	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	F#4	4	7
2	2	9/2	9/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	8
2	2	9/2	9/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	8
2	2	5	5	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		9	63	D#4	4	9
2	2	5	5	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		6	66	F#4	4	9
2	2	23/4	23/4	0.25	11/16	11/16	3/4	2	1	1/16		1/16	1		3	69	A4	4	10
2	2	23/4	23/4	0.25	11/16	11/16	3/4	2	1	1/16		1/16	1		7	73	C#5	5	10
3	3	6	6	3.0	0	0	3/4	3	2	3/4		1/2	3/2		4	40	E2	2	21
3	3	6	6	1.0	0	0	3/4	3	1	1/4		1/4	1	-1	5	47	B2	2	19
3	3	6	6	1.0	0	0	3/4	2	1	1/4		1/4	1		3	69	A4	4	14
3	3	6	6	1.0	0	0	3/4	2	1	1/4		1/4	1		7	73	C#5	5	14
3	3	7	7	2.0	1/4	1/4	3/4	3	1	1/2		1/2	1	1	5	47	B2	2	20
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		8	68	G#4	4	15
3	3	7	7	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		5	71	B4	4	15
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		4	64	E4	4	16
3	3	15/2	15/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	16
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		8	56	G#3	3	17
3	3	8	8	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		4	64	E4	4	17
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		4	64	E4	4	18
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		8	68	G#4	4	18
4	4	9	9	3.0	0	0	3/4	3	2	3/4		1/2	3/2		5	35	B1	1	29
4	4	9	9	1.0	0	0	3/4	3	1	1/4		1/4	1	-1	5	47	B2	2	27
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		4	64	E4	4	22
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		8	68	G#4	4	22
4	4	10	10	2.0	1/4	1/4	3/4	3	1	1/2		1/2	1	1	5	47	B2	2	28
4	4	10	10	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		9	63	D#4	4	23
4	4	10	10	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		6	66	F#4	4	23
4	4	21/2	21/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	24
4	4	21/2	21/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	24
4	4	11	11	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		9	63	D#4	4	25
4	4	11	11	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		6	66	F#4	4	25
4	4	47/4	47/4	0.25	11/16	11/16	3/4	2	1	1/16		1/16	1		3	57	A3	3	26
4	4	47/4	47/4	0.25	11/16	11/16	3/4	2	1	1/16		1/16	1		7	61	C#4	4	26
5	5	12	12	3.0	0	0	3/4	3	2	3/4		1/2	3/2		4	40	E2	2	40
