mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	0
1	1	0	0	2.0	0	0	4/4	2	2	1/2	1/2	1		5	71	B4	4	5
1	1	0	0	4.0	0	0	4/4	2	1	1	1	1	1	5	71	B4	4	4
1	1	3/2	3/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	1
1	1	2	2	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		4	64	E4	4	2
1	1	2	2	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1	1	4	64	E4	4	6
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	3
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	17
2	2	4	4	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	64	E4	4	7
2	2	4	4	1.5	0	0	4/4	2	3	3/8	1/4	3/2		4	64	E4	4	14
2	2	4	4	4.0	0	0	4/4	2	2	1	1	1	0	4	64	E4	4	13
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	5	71	B4	4	11
2	2	11/2	11/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	8
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	3	1/8	1/8	1		6	66	F#4	4	15
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	52	E3	3	18
2	2	6	6	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	9
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	67	G4	4	12
2	2	6	6	2.0	1/2	1/2	4/4	2	3	1/2	1/2	1		1	67	G4	4	16
2	2	15/2	15/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	10
3	3	8	8	1.5	0	0	4/4	3	1	3/8	1/4	3/2		4	52	E3	3	27
3	3	8	8	2.0	0	0	4/4	3	2	1/2	1/2	1		4	52	E3	3	30
3	3	8	8	2.0	0	0	4/4	2	2	1/2	1/2	1	-1	4	64	E4	4	25
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	19
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	1	67	G4	4	23
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	20
3	3	19/2	19/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	28
3	3	10	10	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		3	45	A2	2	31
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	29
3	3	10	10	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	64	E4	4	26
3	3	10	10	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		0	72	C5	5	21
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	72	C5	5	24
3	3	23/2	23/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	22
4	4	12	12	2.0	0	0	4/4	3	2	1/2	1/2	1		5	47	B2	2	42
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		6	54	F#3	3	40
4	4	12	12	2.0	0	0	4/4	2	2	1/2	1/2	1		9	63	D#4	4	38
4	4	12	12	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	32
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1		5	71	B4	4	36
4	4	27/2	27/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	33
4	4	14	14	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1	1	4	40	E2	2	43
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	4	52	E3	3	41
4	4	14	14	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	64	E4	4	39
4	4	14	14	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	34
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	37
4	4	31/2	31/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	35
5	5	16	16	1.5	0	0	4/4	3	2	3/8	1/4	3/2	-1	4	40	E2	2	49
5	5	16	16	4.0	0	0	4/4	3	1	1	1	1	0	4	52	E3	3	48
5	5	16	16	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	44
5	5	35/2	35/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		6	42	F#2	2	50
5	5	35/2	35/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	45
5	5	18	18	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		1	43	G2	2	51
5	5	18	18	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		4	64	E4	4	46
5	5	39/2	39/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	47
6	6	20	20	2.0	0	0	4/4	3	2	1/2	1/2	1		3	45	A2	2	61
6	6	20	20	1.5	0	0	4/4	3	1	3/8	1/4	3/2	-1	4	52	E3	3	58
6	6	20	20	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	64	E4	4	52
6	6	43/2	43/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	59
6	6	43/2	43/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	53
6	6	22	22	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		5	47	B2	2	62
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	1	55	G3	3	60
6	6	22	22	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	54
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		5	71	B4	4	56
6	6	22	22	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		5	71	B4	4	57
6	6	47/2	47/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	55
7	7	24	24	2.0	0	0	4/4	3	2	1/2	1/2	1		0	48	C3	3	73
7	7	24	24	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	1	55	G3	3	71
7	7	24	24	1.5	0	0	4/4	1	1	3/8	1/4	3/2		4	64	E4	4	63
7	7	24	24	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	67
7	7	24	24	2.0	0	0	4/4	2	2	1/2	1/2	1		4	64	E4	4	69
7	7	51/2	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		4	64	E4	4	64
7	7	26	26	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		-1	41	F2	2	74
7	7	26	26	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-1	53	F3	3	72
7	7	26	26	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		0	60	C4	4	70
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	65
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	69	A4	4	68
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	66
8	8	28	28	2.0	0	0	4/4	3	2	1/2	1/2	1		1	43	G2	2	85
8	8	28	28	2.0	0	0	4/4	3	1	1/2	1/2	1		2	50	D3	3	83
8	8	28	28	2.0	0	0	4/4	2	2	1/2	1/2	1		5	59	B3	3	81
8	8	28	28	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	75
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	79
8	8	59/2	59/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	76
8	8	30	30	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1	1	0	36	C2	2	86
8	8	30	30	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	0	48	C3	3	84
8	8	30	30	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1	1	0	60	C4	4	82
8	8	30	30	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	77
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	4	64	E4	4	80
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	78
9	9	32	32	1.5	0	0	4/4	3	2	3/8	1/4	3/2	-1	0	36	C2	2	96
9	9	32	32	4.0	0	0	4/4	3	1	1	1	1	0	0	48	C3	3	95
9	9	32	32	2.0	0	0	4/4	2	2	1/2	1/2	1	-1	0	60	C4	4	93
9	9	32	32	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	4	64	E4	4	91
9	9	32	32	1.5	0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	87
9	9	67/2	67/2	0.5	3/8	3/8	4/4	3	2	1/8	1/8	1		2	38	D2	2	97
9	9	67/2	67/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		0	60	C4	4	88
9	9	34	34	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		4	40	E2	2	98
9	9	34	34	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		1	55	G3	3	94
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	60	C4	4	89
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	0	60	C4	4	92
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	60	C4	4	90
10	10	36	36	2.0	0	0	4/4	3	2	1/2	1/2	1		-1	41	F2	2	109
10	10	36	36	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	0	48	C3	3	107
10	10	36	36	2.0	0	0	4/4	2	2	1/2	1/2	1		3	57	A3	3	105
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		0	60	C4	4	99
10	10	36	36	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	0	60	C4	4	103
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	60	C4	4	100
10	10	38	38	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		2	38	D2	2	110
10	10	38	38	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	0	48	C3	3	108
10	10	38	38	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		-1	53	F3	3	106
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	0	60	C4	4	104
10	10	38	38	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	101
10	10	39	39	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	102
11	11	40	40	2.0	0	0	4/4	3	2	1/2	1/2	1		4	40	E2	2	119
11	11	40	40	4.0	0	0	4/4	3	1	1	1	1	0	0	48	C3	3	118
11	11	40	40	2.0	0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	116
11	11	40	40	4.0	0	0	4/4	2	1	1	1	1	0	0	60	C4	4	115
11	11	40	40	1.5	0	0	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	111
11	11	83/2	83/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	62	D4	4	112
11	11	42	42	2.0	1/2	1/2	4/4	3	2	1/2	1/2	1		-1	41	F2	2	120
11	11	42	42	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		3	57	A3	3	117
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	113
11	11	43	43	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	114
12	12	44	44	2.0	0	0	4/4	3	2	1/2	1/2	1		1	43	G2	2	131
12	12	44	44	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	0	48	C3	3	129
12	12	44	44	2.0	0	0	4/4	2	2	1/2	1/2	1		5	59	B3	3	127
12	12	44	44	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	0	60	C4	4	125
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	121
