mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		6	54	F#3	3	13
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	14
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	14
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	2
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	2
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	15
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	15
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	3
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	3
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	16
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	16
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	4
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	4
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	17
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	17
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	17
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	5
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	5
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	18
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	18
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	18
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	6
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	6
1	1	1	1	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	19
1	1	1	1	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	19
1	1	1	1	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	19
1	1	1	1	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	7
1	1	1	1	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	7
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	20
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		6	66	F#4	4	20
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	20
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	8
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		6	78	F#5	5	8
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	21
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		6	66	F#4	4	21
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	21
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	9
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		6	78	F#5	5	9
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	22
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		6	66	F#4	4	22
1	1	3/2	3/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	0
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	22
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	10
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		6	78	F#5	5	10
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	23
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		4	64	E4	4	23
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	23
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	11
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		4	76	E5	5	11
1	1	7/4	7/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	1
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	24
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		4	64	E4	4	24
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	24
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	12
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		4	76	E5	5	12
2	2	2	2	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		13	55	F##3	3	42
2	2	2	2	0.75	0	0	2/4	1	1	3/16		1/8	3/2		9	63	D#4	4	25
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	43
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	43
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	43
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	31
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	31
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	44
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	44
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	44
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	32
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	32
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	45
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	45
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	45
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	33
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	33
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	46
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	46
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	46
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	34
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	34
2	2	11/4	11/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		9	63	D#4	4	26
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	47
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	47
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	47
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	35
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	35
2	2	3	3	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	48
2	2	3	3	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	48
2	2	3	3	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		9	63	D#4	4	27
2	2	3	3	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	48
2	2	3	3	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	36
2	2	3	3	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	36
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	49
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	49
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	49
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	37
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	37
2	2	13/4	13/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		13	67	F##4	4	28
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	50
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	50
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	50
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	38
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	38
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	51
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	51
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	51
2	2	7/2	7/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		10	70	A#4	4	29
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	39
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	39
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	52
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	52
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	52
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	40
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	40
2	2	15/4	15/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	30
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		7	61	C#4	4	53
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	53
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	53
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		7	73	C#5	5	41
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	41
3	3	4	4	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		8	56	G#3	3	67
3	3	4	4	0.5	0	0	2/4	1	1	1/8		1/8	1		7	73	C#5	5	54
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	68
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	68
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	56
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		5	83	B5	5	56
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	69
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	69
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	57
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		5	83	B5	5	57
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	70
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	70
3	3	9/2	9/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		5	71	B4	4	55
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	58
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		5	83	B5	5	58
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	71
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	71
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	71
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	59
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	59
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	72
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	72
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	72
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	60
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	60
3	3	5	5	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	73
3	3	5	5	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		10	70	A#4	4	73
3	3	5	5	0.16666666666666666	1/4	1/4	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	73
3	3	5	5	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	61
3	3	5	5	0.16666666666666666	1/4	1/4	2/4	2	1	1/24		1/16	2/3		10	82	A#5	5	61
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	74
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	74
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	74
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	62
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	62
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	75
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	75
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	75
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	63
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	63
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	76
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		8	68	G#4	4	76
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	76
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	64
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	2/4	2	1	1/24		1/16	2/3		8	80	G#5	5	64
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	77
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		6	66	F#4	4	77
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	77
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	65
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	2/4	2	1	1/24		1/16	2/3		6	78	F#5	5	65
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	78
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		6	66	F#4	4	78
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	2/4	3	1	1/24		1/16	2/3		5	71	B4	4	78
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	66
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	2/4	2	1	1/24		1/16	2/3		6	78	F#5	5	66
4	4	6	6	0.16666666666666666	0	0	2/4	3	1	1/24		1/16	2/3		15	57	G##3	3	96
4	4	6	6	0.75	0	0	2/4	1	1	3/16		1/8	3/2		11	65	E#4	4	79
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	97
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		11	65	E#4	4	97
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	2/4	3	1	1/24		1/16	2/3		12	72	B#4	4	97
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	85
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	2/4	2	1	1/24		1/16	2/3		11	77	E#5	5	85
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	98
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		11	65	E#4	4	98
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	2/4	3	1	1/24		1/16	2/3		12	72	B#4	4	98
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	86
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	2/4	2	1	1/24		1/16	2/3		11	77	E#5	5	86
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	99
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		11	65	E#4	4	99
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	2/4	3	1	1/24		1/16	2/3		12	72	B#4	4	99
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	87
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	2/4	2	1	1/24		1/16	2/3		11	77	E#5	5	87
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		9	63	D#4	4	100
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		11	65	E#4	4	100
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	2/4	3	1	1/24		1/16	2/3		12	72	B#4	4	100
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	2/4	2	1	1/24		1/16	2/3		9	75	D#5	5	88
