mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	e.i				e	i		i		i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
1	1	1/2	1/2	4/4	3	1	viio/VII				e	i		viio/VII		vii	o			VII			o	1	1	7, 4, 1		7	7	0	2	0.0	0.0	0.25	0.0
1	1	3/4	3/4	4/4	3	1	viio64/VII				e	i		viio64/VII		vii	o	64		VII			o	1	1	1, 7, 4		7	1	0	3	0.0	0.0	0.5	0.0
2	2	0	0	4/4	3	1	VII6	-0.117713	-7.82511	/	e	i		VII6		VII		6					M	1	1	6, 3, 2		2	6	1	2	0.3333333333333333	0.125	0.5	0.2
2	2	1/4	1/4	4/4	3	1	viio6/VII				e	i		viio6/VII		vii	o	6		VII			o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	0.375	0.0
2	2	1/2	1/2	4/4	3	1	v6				e	i		v6		v		6					m	1	1	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.5	0.2
2	2	3/4	3/4	4/4	3	1	iv6				e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.375	0.0
3	3	0	0	4/4	3	1	#viio65/iv				e	i		#viio65/iv		#vii	o	65		iv			o7	1	1	5, 2, -1, 8		8	5	1	4	0.2	0.125	0.5	0.2
3	3	1/2	1/2	4/4	3	1	viio/VI				e	i		viio/VI		vii	o			VI			o	1	1	5, 2, -1		5	5	0	2	0.0	0.0	0.25	0.0
3	3	3/4	3/4	4/4	3	1	viio64/VI				e	i		viio64/VI		vii	o	64		VI			o	1	1	-1, 5, 2		5	-1	0	3	0.0	0.0	0.5	0.0
4	4	0	0	4/4	3	1	VI6	0	-7.94282	/	e	i		VI6		VI		6					M	1	1	4, 1, 0		0	4	1	2	0.3333333333333333	0.125	0.5	0.2
4	4	1/4	1/4	4/4	3	1	viio6/VI				e	i		viio6/VI		vii	o	6		VI			o	1	1	2, -1, 5		5	2	0	2	0.0	0.0	0.375	0.0
4	4	1/2	1/2	4/4	3	1	iv6				e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.5	0.2
4	4	3/4	3/4	4/4	3	1	III6				e	i		III6		III		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.375	0.0
5	5	0	0	4/4	3	1	viio/III				e	i		viio/III		vii	o			III			o	1	1	6, 3, 0		6	6	1	6	0.14285714285714285	0.125	2.0	0.058823529411764705
5	5	3/4	3/4	4/4	3	1	viio2/VI				e	i		viio2/VI		vii	o	2		VI			o7	1	1	-4, 5, 2, -1		5	-4	6	0	1.0	0.875	0.0	1.0
6	6	0	0	4/4	3	1	VI				e	i		VI		VI							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
