mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	3	1	E.I				E	I		I		I							M	0	0	4, 8, 5		4	4	0	13	0.0	0.0	2.625	0.0
2	2	0	0	3/4	3	1	I(42)				E	I		I(42)		I			42				M	0	0	6, 3, 5		4	6	0	5	0.0	0.0	0.625	0.0
2	2	1/8	1/8	3/4	3	1	I				E	I		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.75	0.0
2	2	1/4	1/4	3/4	3	1	IV				E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	1.75	0.0
2	2	5/8	5/8	3/4	3	1	I6				E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	5	0.0	0.0	0.625	0.0
3	3	0	0	3/4	3	1	ii7(4)				E	I		ii7(4)		ii		7	4				mm7	0	0	6, 5, 7, 4		6	6	0	5	0.0	0.0	0.6875	0.0
3	3	1/8	1/8	3/4	3	1	V7				E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	6	0.0	0.0	0.5625	0.0
3	3	1/4	1/4	3/4	3	1	I				E	I		I		I							M	0	0	4, 8, 5		4	4	0	13	0.0	0.0	2.5	0.0
4	4	0	0	3/4	3	1	V6				E	I		V6		V		6					M	0	0	9, 6, 5		5	9	0	5	0.0	0.0	0.625	0.0
4	4	1/8	1/8	3/4	3	1	I6				E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	5	0.0	0.0	0.75	0.0
4	4	1/4	1/4	3/4	3	1	ii65/V				E	I		ii65/V		ii		65		V			mm7	0	0	4, 8, 5, 7		7	4	0	8	0.0	0.0	2.0625	0.0
4	4	5/8	5/8	3/4	3	1	V7/V				E	I		V7/V		V		7		V			Mm7	0	0	6, 10, 7, 4		6	6	2	4	0.3333333333333333	0.125	0.5	0.2
5	5	0	0	3/4	3	1	I(4)/V\\				E	I		I(4)/V		I			4	V		\\	M	0	0	5, 4, 6		5	5	0	8	0.0	0.0	2.0	0.0
5	5	3/8	3/8	3/4	3	1	V7				E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	2	9	0.18181818181818182	0.25	1.5	0.14285714285714285
6	6	0	0	3/4	3	1	I				E	I		I		I							M	0	0	4, 8, 5		4	4	0	10	0.0	0.0	1.5	0.0
6	6	1/4	1/4	3/4	3	1	IV				E	I		IV		IV							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	1.75	0.0
6	6	5/8	5/8	3/4	3	1	V43/ii				E	I		V43/ii		V		43		ii			Mm7	0	0	8, 5, 7, 11		7	8	0	6	0.0	0.0	0.75	0.0
7	7	0	0	3/4	3	1	ii(#74)				E	I		ii(#74)		ii			#74				m	0	0	6, 5, 7	11	6	6	0	6	0.0	0.0	0.9375	0.0
7	7	1/8	1/8	3/4	3	1	ii				E	I		ii		ii							m	0	0	6, 3, 7		6	6	1	4	0.2	0.0625	0.375	0.14285714285714285
7	7	1/4	1/4	3/4	3	1	vi				E	I		vi		vi							m	0	0	7, 4, 8		7	7	0	6	0.0	0.0	1.875	0.0
7	7	5/8	5/8	3/4	3	1	vii%65/V	-0.191727	-5.18418	/	E	I		vii%65/V		vii	%	65		V			%7	0	0	7, 4, 8, 10		10	7	0	6	0.0	0.0	0.75	0.0
8	8	0	0	3/4	3	1	I6/V				E	I		I6/V		I		6		V			M	0	0	9, 6, 5		5	9	0	5	0.0	0.0	0.875	0.0
8	8	1/8	1/8	3/4	3	1	vi/V				E	I		vi/V		vi				V			m	0	0	8, 5, 9		8	8	0	4	0.0	0.0	0.5	0.0
8	8	1/4	1/4	3/4	3	1	vi65				E	I		vi65		vi		65					mm7	0	0	4, 8, 5, 7		7	4	0	7	0.0	0.0	1.8125	0.0
8	8	5/8	5/8	3/4	3	1	V7/V				E	I		V7/V		V		7		V			Mm7	0	0	6, 10, 7, 4		6	6	2	4	0.3333333333333333	0.125	0.4375	0.2222222222222222
9	9	0	0	3/4	3	1	I/V\\				E	I		I/V		I				V		\\	M	0	0	5, 9, 6		5	5	2	8	0.2	0.25	1.625	0.13333333333333333
9	9	3/8	3/8	3/4	3	1	V7				E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	3	3	0.5	0.5	0.5	0.5
9	9	5/8	5/8	3/4	3	1	V2				E	I		V2		V		2					Mm7	0	0	3, 5, 9, 6		5	3	0	15	0.0	0.0	3.75	0.0
10	10	3/8	3/8	3/4	3	1	I6				E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.5	0.0
