mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	f#.i	f#	i		i	i							m	1	1	6, 3, 7		6	6	2	43	0.044444444444444446	0.25	3.375	0.06896551724137931
3	3	0	0	4/4	3	1	V	f#	i		V	V							M	1	1	7, 11, 8		7	7	0	24	0.0	0.0	2.25	0.0
4	4	0	0	4/4	3	1	i	f#	i		i	i							m	1	1	6, 3, 7		6	6	0	14	0.0	0.0	1.1875	0.0
4	4	1/2	1/2	4/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	2	15	0.11764705882352941	0.125	1.125	0.1
5	5	0	0	4/4	3	1	i\\	f#	i		i	i						\\	m	1	1	6, 3, 7		6	6	1	35	0.027777777777777776	0.125	3.0	0.04
6	6	1/2	1/2	4/4	3	1	viio7/V	f#	i		viio7/V	vii	o	7		V			o7	1	1	12, 9, 6, 3		12	12	1	12	0.07692307692307693	0.125	1.4375	0.08
7	7	0	0	4/4	3	1	#viio43(4)	f#	i		#viio43(4)	#vii	o	43	4				o7	1	1	5, 2, 11, 3		11	5	1	12	0.07692307692307693	0.125	1.5	0.07692307692307693
7	7	1/2	1/2	4/4	3	1	#viio43	f#	i		#viio43	#vii	o	43					o7	1	1	5, 2, 11, 8		11	5	1	12	0.07692307692307693	0.0625	1.5625	0.038461538461538464
8	8	0	0	4/4	3	1	i6	f#	i		i6	i		6					m	1	1	3, 7, 6		6	3	0	15	0.0	0.0	1.6875	0.0
8	8	1/2	1/2	4/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	2	14	0.125	0.125	1.0625	0.10526315789473684
9	9	0	0	4/4	3	1	i\\	f#	i		i	i						\\	m	1	1	6, 3, 7		6	6	0	22	0.0	0.0	1.875	0.0
10	10	0	0	4/4	3	1	III.V65/V	f#	III		V65/V	V		65		V			Mm7	1	0	9, 6, 3, 5		5	9	0	13	0.0	0.0	1.5	0.0
10	10	1/2	1/2	4/4	3	1	V65(4)/V	f#	III		V65(4)/V	V		65	4	V			Mm7	1	0	4, 6, 3, 5		5	4	0	14	0.0	0.0	1.75	0.0
11	11	0	0	4/4	3	1	V43(9)/V	f#	III		V43(9)/V	V		43	9	V			Mm7	1	0	6, 3, 5, 9	7	5	6	0	13	0.0	0.0	1.75	0.0
11	11	1/2	1/2	4/4	3	1	V65/V	f#	III		V65/V	V		65		V			Mm7	1	0	9, 6, 3, 5		5	9	0	13	0.0	0.0	1.75	0.0
12	12	0	0	4/4	3	1	V(64)	f#	III		V(64)	V			64				M	1	0	4, 3, 7		4	4	1	11	0.08333333333333333	0.25	1.75	0.125
12	12	1/2	1/2	4/4	3	1	V2	f#	III		V2	V		2					Mm7	1	0	2, 4, 8, 5		4	2	0	12	0.0	0.0	1.5	0.0
13	13	0	0	4/4	3	1	I6	f#	III		I6	I		6					M	1	0	7, 4, 3		3	7	1	15	0.0625	0.25	2.6875	0.0851063829787234
13	13	3/4	3/4	4/4	3	1	IV6	f#	III		IV6	IV		6					M	1	0	6, 3, 2		2	6	0	7	0.0	0.0	1.0	0.0
14	14	0	0	4/4	3	1	V43/IV	f#	III		V43/IV	V		43		IV			Mm7	1	0	4, 1, 3, 7		3	4	0	11	0.0	0.0	2.0	0.0
14	14	1/2	1/2	4/4	3	1	iv.iv2	f#	iv		iv2	iv		2					mm7	1	1	2, 4, 1, 5		4	2	0	12	0.0	0.0	2.0	0.0
15	15	0	0	4/4	3	1	V43	f#	iv		V43	V		43					Mm7	1	1	7, 4, 6, 10		6	7	0	11	0.0	0.0	2.25	0.0
15	15	1/2	1/2	4/4	3	1	V7	f#	iv		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	2	10	0.16666666666666666	0.25	0.75	0.25
16	16	0	0	4/4	3	1	i	f#	iv		i	i							m	1	1	5, 2, 6		5	5	0	13	0.0	0.0	1.1875	0.0
16	16	1/2	1/2	4/4	3	1	i6	f#	iv		i6	i		6					m	1	1	2, 6, 5		5	2	1	13	0.07142857142857142	0.125	1.0625	0.10526315789473684
17	17	0	0	4/4	3	1	#viio43(4)	f#	iv		#viio43(4)	#vii	o	43	4				o7	1	1	4, 1, 10, 2		10	4	0	12	0.0	0.0	1.1875	0.0
17	17	1/2	1/2	4/4	3	1	#viio43	f#	iv		#viio43	#vii	o	43					o7	1	1	4, 1, 10, 7		10	4	0	12	0.0	0.0	1.1875	0.0
18	18	0	0	4/4	3	1	i6	f#	iv		i6	i		6					m	1	1	2, 6, 5		5	2	0	12	0.0	0.0	1.1875	0.0
18	18	1/2	1/2	4/4	3	1	V7	f#	iv		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	13	0.0	0.0	1.1875	0.0
19	19	0	0	4/4	3	1	i	f#	iv		i	i							m	1	1	5, 2, 6		5	5	0	12	0.0	0.0	1.1875	0.0
19	19	1/2	1/2	4/4	3	1	i.viio7/V	f#	i		viio7/V	vii	o	7		V			o7	1	1	12, 9, 6, 3		12	12	1	12	0.07692307692307693	0.0625	1.0	0.058823529411764705
20	20	0	0	4/4	3	1	V(64)	f#	i		V(64)	V			64				M	1	1	7, 6, 3		7	7	0	12	0.0	0.0	1.125	0.0
20	20	1/2	1/2	4/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	7, 11, 8, 5		7	7	0	15	0.0	0.0	1.25	0.0
21	21	0	0	4/4	3	1	i[i\\	f#	i	i	i	i						\\	m	1	1	6, 3, 7		6	6	0	11	0.0	0.0	1.125	0.0
21	21	1/2	1/2	4/4	3	1	V7/iv	f#	i	i	V7/iv	V		7		iv			Mm7	1	1	6, 10, 7, 4		6	6	0	11	0.0	0.0	0.875	0.0
22	22	0	0	4/4	3	1	bII	f#	i	i	bII	bII							M	1	1	1, 5, 2		1	1	1	11	0.08333333333333333	0.0625	1.0625	0.05555555555555555
22	22	1/2	1/2	4/4	3	1	#viio2	f#	i	i	#viio2	#vii	o	2					o7	1	1	2, 11, 8, 5		11	2	5	10	0.3333333333333333	0.3125	0.8125	0.2777777777777778
23	23	0	0	4/4	3	1	I	f#	i	i	I	I							M	1	1	6, 10, 7		6	6	0	11	0.0	0.0	1.125	0.0
23	23	1/2	1/2	4/4	3	1	V7/iv	f#	i	i	V7/iv	V		7		iv			Mm7	1	1	6, 10, 7, 4		6	6	0	11	0.0	0.0	0.875	0.0
24	24	0	0	4/4	3	1	bII	f#	i	i	bII	bII							M	1	1	1, 5, 2		1	1	1	11	0.08333333333333333	0.0625	1.0625	0.05555555555555555
24	24	1/2	1/2	4/4	3	1	#viio2	f#	i	i	#viio2	#vii	o	2					o7	1	1	2, 11, 8, 5		11	2	2	11	0.15384615384615385	0.1875	0.9375	0.16666666666666666
25	25	0	0	4/4	3	1	I	f#	i	i	I	I							M	1	1	6, 10, 7		6	6	0	10	0.0	0.0	1.25	0.0
25	25	1/2	1/2	4/4	3	1	#viio2	f#	i	i	#viio2	#vii	o	2					o7	1	1	2, 11, 8, 5		11	2	2	10	0.16666666666666666	0.1875	0.875	0.17647058823529413
26	26	0	0	4/4	3	1	I	f#	i	i	I	I							M	1	1	6, 10, 7		6	6	0	10	0.0	0.0	1.0	0.0
26	26	1/2	1/2	4/4	3	1	iv	f#	i	i	iv	iv							m	1	1	5, 2, 6		5	5	0	5	0.0	0.0	0.5	0.0
26	26	3/4	3/4	4/4	3	1	#viio2	f#	i	i	#viio2	#vii	o	2					o7	1	1	2, 11, 8, 5		11	2	0	6	0.0	0.0	0.5	0.0
27	27	0	0	4/4	3	1	I]\\	f#	i	i	I	I						\\	M	1	1	6, 10, 7		6	6	0	28	0.0	0.0	8.3125	0.0
