mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	1	B.iii				B	I		iii	iii							m	0	0	9, 6, 10		9	9	0	20	0.0	0.0	2.625	0.0
1	1	3/4	3/4	4/4	3	1	ii2/ii	-0.209322	-3.54661	/	B	I		ii2/ii	ii		2		ii			mm7	0	0	7, 9, 6, 10		9	7	0	9	0.0	0.0	1.25	0.0
2	2	0	0	4/4	3	1	V65/ii				B	I		V65/ii	V		65		ii			Mm7	0	0	12, 9, 6, 8		8	12	0	17	0.0	0.0	3.0	0.0
2	2	1/2	1/2	4/4	3	1	ii				B	I		ii	ii							m	0	0	7, 4, 8		7	7	0	8	0.0	0.0	1.0	0.0
2	2	3/4	3/4	4/4	3	1	ii2				B	I		ii2	ii		2					mm7	0	0	5, 7, 4, 8		7	5	0	9	0.0	0.0	1.0	0.0
3	3	0	0	4/4	3	1	V65(9)				B	I		V65(9)	V		65	9				Mm7	0	0	10, 7, 4, 6	8	6	10	0	9	0.0	0.0	1.75	0.0
3	3	1/4	1/4	4/4	3	1	V65				B	I		V65	V		65					Mm7	0	0	10, 7, 4, 6		6	10	0	24	0.0	0.0	3.0	0.0
4	4	0	0	4/4	3	1	I				B	I		I	I							M	0	0	5, 9, 6		5	5	0	9	0.0	0.0	1.0	0.0
4	4	1/4	1/4	4/4	3	1	I6				B	I		I6	I		6					M	0	0	9, 6, 5		5	9	0	8	0.0	0.0	0.75	0.0
4	4	1/2	1/2	4/4	3	1	viio6				B	I		viio6	vii	o	6					o	0	0	7, 4, 10		10	7	0	7	0.0	0.0	0.75	0.0
4	4	3/4	3/4	4/4	3	1	vi6				B	I		vi6	vi		6					m	0	0	5, 9, 8		8	5	0	7	0.0	0.0	0.75	0.0
5	5	0	0	4/4	3	1	V6				B	I		V6	V		6					M	0	0	10, 7, 6		6	10	0	7	0.0	0.0	0.75	0.0
5	5	1/4	1/4	4/4	3	1	V[I				B	I	V	I	I							M	0	0	5, 9, 6		5	5	0	9	0.0	0.0	1.5	0.0
