mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	6/8	3	1	A.I64	0	-4.96131	/	A	I		I64	I		64					M	0	0	4, 3, 7		3	4	0	24	0.0	0.0	4.125	0.0
3	3	0	0	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	1	22	0.043478260869565216	0.0625	4.4375	0.013888888888888888
4	4	0	0	6/8	3	1	I(9)				A	I		I(9)	I			9				M	0	0	3, 7, 4	5	3	3	0	11	0.0	0.0	2.125	0.0
4	4	3/8	3/8	6/8	3	1	V[I				A	I	V	I	I							M	0	0	3, 7, 4		3	3	1	6	0.14285714285714285	0.125	1.75	0.06666666666666667
5	5	0	0	6/8	3	1	vi				A	I	V	vi	vi							m	0	0	6, 3, 7		6	6	3	4	0.42857142857142855	0.5	1.375	0.26666666666666666
5	5	3/8	3/8	6/8	3	1	V6/ii				A	I	V	V6/ii	V		6		ii			M	0	0	10, 7, 6		6	10	4	2	0.6666666666666666	0.625	0.5	0.5555555555555556
6	6	0	0	6/8	3	1	ii				A	I	V	ii	ii							m	0	0	5, 2, 6		5	5	4	5	0.4444444444444444	0.625	0.625	0.5
6	6	3/8	3/8	6/8	3	1	V7]				A	I	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	3	6	0.3333333333333333	0.375	1.375	0.21428571428571427
7	7	0	0	6/8	3	1	I\\				A	I		I	I						\\	M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	1.25	0.0
7	7	3/8	3/8	6/8	3	1	I64				A	I		I64	I		64					M	0	0	4, 3, 7		3	4	0	22	0.0	0.0	3.875	0.0
9	9	0	0	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	1	22	0.043478260869565216	0.125	4.375	0.027777777777777776
10	10	0	0	6/8	3	1	I(9)				A	I		I(9)	I			9				M	0	0	3, 7, 4	5	3	3	0	11	0.0	0.0	2.125	0.0
10	10	3/8	3/8	6/8	3	1	V[I				A	I	V	I	I							M	0	0	3, 7, 4		3	3	1	6	0.14285714285714285	0.125	1.625	0.07142857142857142
11	11	0	0	6/8	3	1	vi				A	I	V	vi	vi							m	0	0	6, 3, 7		6	6	3	4	0.42857142857142855	0.5	1.375	0.26666666666666666
11	11	3/8	3/8	6/8	3	1	V6/ii				A	I	V	V6/ii	V		6		ii			M	0	0	10, 7, 6		6	10	4	2	0.6666666666666666	0.625	0.5	0.5555555555555556
12	12	0	0	6/8	3	1	ii				A	I	V	ii	ii							m	0	0	5, 2, 6		5	5	4	5	0.4444444444444444	0.625	0.625	0.5
12	12	3/8	3/8	6/8	3	1	V7]				A	I	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	3	6	0.3333333333333333	0.375	1.375	0.21428571428571427
13	13	0	0	6/8	3	1	I\\				A	I		I	I						\\	M	0	0	3, 7, 4		3	3	6	12	0.3333333333333333	0.75	2.5	0.23076923076923078
14	14	0	0	6/8	3	1	IV.IV				A	IV		IV	IV							M	0	0	1, 5, 2		1	1	4	20	0.16666666666666666	0.5	4.0	0.1111111111111111
15	15	0	0	6/8	3	1	I[I				A	IV	I	I	I							M	0	0	2, 6, 3		2	2	2	19	0.09523809523809523	0.25	4.25	0.05555555555555555
16	16	0	0	6/8	3	1	V7				A	IV	I	V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	9	12	0.42857142857142855	1.375	2.5	0.3548387096774194
17	17	0	0	6/8	3	1	I]				A	IV	I	I	I							M	0	0	2, 6, 3		2	2	5	15	0.25	0.625	3.25	0.16129032258064516
18	18	0	0	6/8	3	1	IV				A	IV		IV	IV							M	0	0	1, 5, 2		1	1	4	19	0.17391304347826086	0.5	3.375	0.12903225806451613
19	19	0	0	6/8	3	1	I[I				A	IV	I	I	I							M	0	0	2, 6, 3		2	2	2	19	0.09523809523809523	0.25	3.5	0.06666666666666667
20	20	0	0	6/8	3	1	V7				A	IV	I	V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	9	12	0.42857142857142855	1.375	2.5	0.3548387096774194
21	21	0	0	6/8	3	1	I]\\				A	IV	I	I	I						\\	M	0	0	2, 6, 3		2	2	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
22	22	0	0	6/8	3	1	VI.I64				A	VI		I64	I		64					M	0	0	7, 6, 10		6	7	0	21	0.0	0.0	3.75	0.0
23	23	3/8	3/8	6/8	3	1	I				A	VI		I	I							M	0	0	6, 10, 7		6	6	3	34	0.08108108108108109	0.375	10.75	0.033707865168539325
26	26	0	0	6/8	3	1	vii.v65				A	vii		v65	v		65					mm7	0	1	6, 10, 7, 9		9	6	1	7	0.125	0.125	2.5	0.047619047619047616
26	26	3/8	3/8	6/8	3	1	V65				A	vii		V65	V		65					Mm7	0	1	13, 10, 7, 9		9	13	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
27	27	0	0	6/8	3	1	i				A	vii		i	i							m	0	1	8, 5, 9		8	8	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
27	27	1/4	1/4	6/8	3	1	iio6				A	vii		iio6	ii	o	6					o	0	1	7, 4, 10		10	7	0	4	0.0	0.0	0.5	0.0
27	27	3/8	3/8	6/8	3	1	V(64)				A	vii		V(64)	V			64				M	0	1	9, 8, 5		9	9	0	5	0.0	0.0	1.25	0.0
27	27	5/8	5/8	6/8	3	1	V				A	vii		V	V							M	0	1	9, 13, 10		9	9	0	5	0.0	0.0	0.625	0.0
28	28	0	0	6/8	3	1	i\\				A	vii		i	i						\\	m	0	1	8, 5, 9		8	8	0	8	0.0	0.0	1.625	0.0
28	28	3/8	3/8	6/8	3	1	i64				A	vii		i64	i		64					m	0	1	9, 8, 5		8	9	0	9	0.0	0.0	1.875	0.0
29	29	1/4	1/4	6/8	3	1	i				A	vii		i	i							m	0	1	8, 5, 9		8	8	1	24	0.04	0.125	5.75	0.02127659574468085
31	31	0	0	6/8	3	1	I(9)				A	vii		I(9)	I			9				M	0	1	8, 12, 9	10	8	8	1	6	0.14285714285714285	0.375	1.875	0.16666666666666666
31	31	3/8	3/8	6/8	3	1	i				A	vii		i	i							m	0	1	8, 5, 9		8	8	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
32	32	0	0	6/8	3	1	I.V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	0	7	0.0	0.0	1.5	0.0
32	32	3/8	3/8	6/8	3	1	V				A	I		V	V							M	0	0	4, 8, 5		4	4	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
33	33	0	0	6/8	3	1	vi7				A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	2	7	0.2222222222222222	0.25	1.625	0.13333333333333333
33	33	3/8	3/8	6/8	3	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	6	0.25	0.25	1.625	0.13333333333333333
34	34	0	0	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	1	8	0.1111111111111111	0.125	1.75	0.06666666666666667
34	34	3/8	3/8	6/8	3	1	vi7				A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	2	6	0.25	0.25	1.625	0.13333333333333333
35	35	0	0	6/8	3	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	7	0.2222222222222222	0.25	1.625	0.13333333333333333
35	35	3/8	3/8	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	6	0.25	0.25	1.625	0.13333333333333333
36	36	0	0	6/8	3	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	9	0.0	0.0	1.875	0.0
36	36	3/8	3/8	6/8	3	1	V6				A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	5	0.2857142857142857	0.25	1.625	0.13333333333333333
37	37	0	0	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	2	6	0.25	0.25	1.25	0.16666666666666666
37	37	3/8	3/8	6/8	3	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	1	9	0.1	0.125	1.75	0.06666666666666667
38	38	0	0	6/8	3	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	1.5	0.0
38	38	3/8	3/8	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	0	7	0.0	0.0	2.25	0.0
39	39	0	0	6/8	3	1	V2				A	I		V2	V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	6	0.0	0.0	2.25	0.0
39	39	3/8	3/8	6/8	3	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	2.25	0.0
40	40	0	0	6/8	3	1	V43				A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	6	0.0	0.0	4.5	0.0
41	41	0	0	6/8	3	1	I				A	I		I	I							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	3.75	0.0
41	41	3/8	3/8	6/8	3	1	i				A	I		i	i							m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.75	0.0
42	42	0	0	6/8	3	1	V\\				A	I		V	V						\\	M	0	0	4, 8, 5		4	4	0	6	0.0	0.0	4.0	0.0
43	43	0	0	6/8	3	1	v				A	I		v	v							m	0	0	4, 1, 5		4	4	2	7	0.2222222222222222	0.25	3.875	0.06060606060606061
44	44	0	0	6/8	3	1	ii				A	I		ii	ii							m	0	0	5, 2, 6		5	5	0	6	0.0	0.0	3.625	0.0
44	44	5/8	5/8	6/8	3	1	viio6				A	I		viio6	vii	o	6					o	0	0	5, 2, 8		8	5	0	1	0.0	0.0	0.125	0.0
45	45	0	0	6/8	3	1	I6				A	I		I6	I		6					M	0	0	7, 4, 3		3	7	2	10	0.16666666666666666	0.25	4.25	0.05555555555555555
46	46	0	0	6/8	3	1	V(4)				A	I		V(4)	V			4				M	0	0	4, 3, 5		4	4	0	5	0.0	0.0	3.75	0.0
47	47	0	0	6/8	3	1	V				A	I		V	V							M	0	0	4, 8, 5		4	4	2	7	0.2222222222222222	0.25	3.5	0.06666666666666667
48	48	0	0	6/8	3	1	I(64)				A	I		I(64)	I			64				M	0	0	3, 2, 6		3	3	0	15	0.0	0.0	9.375	0.0
50	50	0	0	6/8	3	1	I\\				A	I		I	I						\\	M	0	0	3, 7, 4		3	3	0	7	0.0	0.0	1.75	0.0
