mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	31	als										
3	3	6	6	0.0	0	0	Dynamic	3/4	2	1	0						p							0		
3	3	6	6	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	32									0		
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	33									0		
3	3	7	7	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	34											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	35									3		
3	3	6	6	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	36											
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	37											
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	38											
3	3	6	6	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	39											
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	40											
3	3	7	7	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	41											
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	42											
3	3	8	8	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	43											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	44											
3	3	6	6	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	45									1		
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	46									1		
3	3	7	7	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	47											
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	48									4		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	3	1/4		1/4	1	49											
4	4	9	9	0.0	0	0	Spanner	3/4	1	1	0															1
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	50	ob										1
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	51	ich										1
4	4	10	10	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	52	fröh-										1
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	53	-lich										1
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0													3		2
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	54									3		2
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	55									3		2
4	4	10	10	0.0	1/4	1/4	Dynamic	3/4	2	1	0						mp							3		
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	2	1	0													3		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56									3		
4	4	11	11	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	57									3		
4	4	47/4	47/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	58									3		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	59											
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	60											
4	4	9	9	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	61											
4	4	19/2	19/2	1.0	1/8	1/8	Chord	3/4	3	1	1/4		1/4	1	62											
4	4	21/2	21/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	63											
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	64											
4	4	9	9	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	65									4		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	66									4		
4	4	10	10	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	67									4		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	68									4		
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0						mf									
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0															
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	69	sei;										
5	5	29/2	29/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p									
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	70	doch										
5	5	12	12	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	71											
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	72									5		
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	73									5		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	74									5		
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	75											
5	5	13	13	0.0	1/4	1/4	Spanner	3/4	2	2	0														1	
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	76										1	
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	77										1	
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	78										1	
5	5	29/2	29/2	0.0	5/8	5/8	Dynamic	3/4	2	2	0						p									
5	5	29/2	29/2	0.0	5/8	5/8	Spanner	3/4	2	2	0															
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	79											
5	5	25/2	25/2	1.0	1/8	1/8	Chord	3/4	3	1	1/4		1/4	1	80											
5	5	27/2	27/2	1.5	3/8	3/8	Chord	3/4	3	1	3/8		1/4	3/2	81											
5	5	12	12	1.5	0	0	Chord	3/4	3	2	3/8		1/4	3/2	82											
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	3	2	1/4		1/4	1	83											
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	84											
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	85	heim-										
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	86	-lich										
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	87	Trä-										
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	88	-nen										
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0															3
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	89											3
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	90									6		3
6	6	16	16	0.0	1/4	1/4	Dynamic	3/4	2	1	0						mp							6		
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	2	1	0													6		
6	6	16	16	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	91									6		
6	6	35/2	35/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						p									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	92											
6	6	15	15	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	93											
6	6	31/2	31/2	1.0	1/8	1/8	Chord	3/4	3	1	1/4		1/4	1	94											
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	3/4	3	1	0														2	
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	95										2	
6	6	17	17	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	96										2	
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	3/4	3	1	0															
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	97											
6	6	15	15	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	98											
6	6	16	16	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	99											
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	100											
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	101	drin-								7		
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	102									7		
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	103											
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	104	-gen,										
7	7	41/2	41/2	0.0	5/8	5/8	Spanner	3/4	1	1	0															4
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	105	da										4
7	7	18	18	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	106									8		
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	107									8		
7	7	19	19	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	108											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	109									9		
7	7	18	18	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	110											
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	111											
7	7	20	20	0.0	1/2	1/2	Spanner	3/4	2	2	0															5
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	112											5
7	7	18	18	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	113											
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	114											
7	7	39/2	39/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	115											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	116											
7	7	18	18	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	117											
7	7	19	19	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	118											
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	119									10		
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	120	wird										4
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	121	das										4
8	8	22	22	1.75	1/4	1/4	Chord	3/4	1	1	7/16		1/4	7/4	122	Herz										4
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	123	mir										4
8	8	21	21	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	124									9		5
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	125									9		5
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126									9		5
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	127									9		
8	8	47/2	47/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						mf							9		
8	8	47/2	47/2	0.0	5/8	5/8	Spanner	3/4	2	1	0													9	3	
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	128									9	3	
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	129									9	3	
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	130										3	
8	8	23	23	0.0	1/2	1/2	Dynamic	3/4	2	2	0						mf								3	
8	8	23	23	0.0	1/2	1/2	Spanner	3/4	2	2	0														3	
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	131										3	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	132										3	
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	133											
8	8	45/2	45/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	134											
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	135											
8	8	21	21	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	136									10		
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	137									10		
8	8	22	22	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	138									10		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	139									10		
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0						mf									
9	9	24	24	0.0	0	0	Spanner	3/4	1	1	0															
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	140	frei.										
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p									
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	141	Es										
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	142									9	3	
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	143									9	3	
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	144									9	3	
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	145									9	3	
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	146									9	3	
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						p									
9	9	53/2	53/2	0.0	5/8	5/8	Spanner	3/4	2	1	0															
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	147											
9	9	24	24	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	148											
9	9	51/2	51/2	1.0	3/8	3/8	Chord	3/4	2	2	1/4		1/4	1	149											
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	150											
9	9	25	25	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	151											
9	9	51/2	51/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	152											
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	153											
9	9	24	24	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	154											
10	10	27	27	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	155	las-										
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156	-sen										
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	157	Nach-										
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	158	-ti-										
10	10	27	27	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	159									11		
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	160									11		
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	161									11		
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	162											
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	163											
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	164											
10	10	27	27	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	165											
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	166									12		
10	10	28	28	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	167											
10	10	27	27	1.5	0	0	Chord	3/4	3	2	3/8		1/4	3/2	168									13		
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	169									13		
10	10	29	29	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	170									13		
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	171											
11	11	30	30	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	172	-gal-								14		
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	173											
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	174	-len,										
11	11	30	30	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	175									15		
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	176									15		
11	11	31	31	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	177											
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	178											
11	11	30	30	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	179											
11	11	61/2	61/2	1.5	1/8	1/8	Chord	3/4	2	2	3/8		1/4	3/2	180											
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	181											
11	11	30	30	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	182											
11	11	31	31	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	183									16		
11	11	63/2	63/2	1.5	3/8	3/8	Chord	3/4	3	1	3/8		1/4	3/2	184											
11	11	30	30	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	185									17		
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	186									17		
11	11	31	31	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	187											
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	188											
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	189	spielt								18		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	190											
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191	drau-										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	192	-ssen										
12	12	33	33	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	193									19		
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	3/4	2	1	0													19		6
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	194									19		6
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	195									19		6
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	196											6
12	12	33	33	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	197											6
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	198											6
12	12	33	33	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	199											
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	200									20		
12	12	34	34	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	201											
12	12	33	33	1.5	0	0	Chord	3/4	3	2	3/8		1/4	3/2	202									21		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8		1/8	1	203									21		
12	12	35	35	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	204									21		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	205											
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	206	Früh-										
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	207	-lings-										
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	208	-luft,										
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	209	der										
13	13	36	36	0.0	0	0	Dynamic	3/4	2	1	0						mp									
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0															
13	13	36	36	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	210									22		
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	211									22		
13	13	37	37	1.5	1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	212											
13	13	77/2	77/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						p									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	213											
13	13	36	36	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	214											
13	13	73/2	73/2	1.5	1/8	1/8	Chord	3/4	2	2	3/8		1/4	3/2	215											
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	216											
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	217											
13	13	36	36	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	218											
13	13	75/2	75/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	219									23		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	220											
13	13	36	36	0.5	0	0	Chord	3/4	3	2	1/8		1/8	1	221									24		
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8		1/8	1	222									24		
13	13	37	37	1.5	1/4	1/4	Chord	3/4	3	2	3/8		1/4	3/2	223											
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	224											
14	14	39	39	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	225	Sehn-										
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	3/4	1	1	0															7
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	226	-sucht										7
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	227	Lied										7
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	228											7
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	229	er-										7
14	14	39	39	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	230											
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	3/4	2	1	0															8
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	231									25		8
14	14	41	41	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	232									25		8
14	14	167/4	167/4	0.0	11/16	11/16	Dynamic	3/4	2	1	0						mp									
14	14	167/4	167/4	0.0	11/16	11/16	Spanner	3/4	2	1	0															
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	233											
14	14	39	39	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	234											
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	235											
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	236											
14	14	81/2	81/2	1.0	3/8	3/8	Chord	3/4	2	3	1/4		1/4	1	237											
14	14	39	39	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	238											
14	14	79/2	79/2	1.0	1/8	1/8	Chord	3/4	3	1	1/4		1/4	1	239											
14	14	81/2	81/2	1.0	3/8	3/8	Chord	3/4	3	1	1/4		1/4	1	240											
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	241											
14	14	39	39	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	242											
15	15	42	42	0.0	0	0	Dynamic	3/4	1	1	0						mf									
15	15	42	42	0.0	0	0	Spanner	3/4	1	1	0															
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	243	-schal-										
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	244	-len										
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245	aus										
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	246											
