mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Innig,bewegt	70.0			1.0						
1	1	3	3	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p													
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Es														
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	1										0					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	2										0					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	3										0					
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	2	2	1/16	1/16	1	4															
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	5															
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	2	2	1/16	1/16	1	6															
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	7															
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	2	2	1/16	1/16	1	8															
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	9															
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	2	2	1/16	1/16	1	10															
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	11															
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	12															
1	1	1	1	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	13															
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	14															
1	1	2	2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	15															
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	16															
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	17															
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	18															
1	1	0	0	0.0	0	0	Dynamic	4/4	3	2	0					p													
1	1	0	0	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	19										1					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	20										1					
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	21	rau-														
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	22	-schen														
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	23	die														
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24	Wi-														
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	25	-pfel														
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	26	und														
2	2	4	4	4.0	0	0	Chord	4/4	2	1	1	1	1	27															
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	2	2	1/16	1/16	1	28															
