mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
2	2	23/6	23/6	0.0	11/24	11/24	Spanner	2/4	2	1	0																		
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	41														
2	2	2	2	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	42														
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	43														
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	44														
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	45														
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	46														
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	47														
2	2	3	3	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	48														
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	49														
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	50														
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	51														
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	52														
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	53														
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	54	Lüf-													
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	55	-te													
3	3	25/6	25/6	0.0	1/24	1/24	Spanner	2/4	2	1	0																	2	
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	56													2	
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	57													2	
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	58													2	
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	59													2	
3	3	29/6	29/6	0.0	5/24	5/24	Spanner	2/4	2	1	0																		
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	60														
3	3	5	5	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	61														
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	62														
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	63														
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	64														
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	65														
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	66														
3	3	4	4	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	67														
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	68														
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	69														
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	70														
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	71														
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	72														
3	3	5	5	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	73														
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	74														
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	75														
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	76														
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	77														
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	78														
4	4	6	6	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	79	hört'													
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	80	ich													
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	81	Wan-													
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	82	-der-													
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	83	-vö-													
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	84	-gel													
4	4	37/6	37/6	0.0	1/24	1/24	Spanner	2/4	2	1	0																	3	
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	85													3	
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	86													3	
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	87													3	
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	88													3	
4	4	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	89													3	
4	4	7	7	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	90													3	
4	4	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	91													3	
4	4	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	92													3	
4	4	15/2	15/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	93													3	
4	4	23/3	23/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	94													3	
4	4	47/6	47/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	95													3	
4	4	6	6	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	96														
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	97														
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	98														
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	99														
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	100														
4	4	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	101														
4	4	7	7	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	102														
4	4	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	103														
4	4	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	104														
4	4	15/2	15/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	105														
4	4	23/3	23/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	106														
4	4	47/6	47/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	107														
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	108	zieh'n,													
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	109	das													
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	110	be-													
5	5	8	8	0.0	0	0	Spanner	2/4	2	1	0																		
5	5	49/6	49/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	111														
5	5	25/3	25/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	112														
5	5	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	113														
5	5	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	114														
5	5	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	115														
5	5	55/6	55/6	0.0	7/24	7/24	Spanner	2/4	2	1	0																	4	
5	5	55/6	55/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	116													4	
5	5	28/3	28/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	117													4	
5	5	19/2	19/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	118													4	
5	5	29/3	29/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	119													4	
5	5	59/6	59/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	120													4	
5	5	8	8	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	121														
5	5	49/6	49/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	122														
5	5	25/3	25/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	123														
5	5	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	124														
5	5	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	125														
5	5	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	126														
5	5	9	9	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	127														
5	5	55/6	55/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	128														
5	5	28/3	28/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	129														
5	5	19/2	19/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	130														
5	5	29/3	29/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	131														
5	5	59/6	59/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	132														
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	133	-deu-													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	134	-tet													
6	6	11	11	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	135	Früh-													
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	136	-lings-													
6	6	10	10	0.0	0	0	Spanner	2/4	2	1	0																		
6	6	61/6	61/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	137														
6	6	31/3	31/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	138														
6	6	21/2	21/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	139														
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	140														
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	141														
6	6	67/6	67/6	0.0	7/24	7/24	Spanner	2/4	2	1	0																	5	
6	6	67/6	67/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	142													5	
6	6	34/3	34/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	143													5	
6	6	23/2	23/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	144													5	
6	6	35/3	35/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	145													5	
6	6	71/6	71/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	146													5	
6	6	10	10	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	147														
6	6	61/6	61/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	148														
6	6	31/3	31/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	149														
6	6	21/2	21/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	150														
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	151														
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	152														
6	6	11	11	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	153														
6	6	67/6	67/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	154														
6	6	34/3	34/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	155														
6	6	23/2	23/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	156														
6	6	35/3	35/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	157														
6	6	71/6	71/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	158														
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	159	-düf-													
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	160	-te,													
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0																		
7	7	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	161														
7	7	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	162														
7	7	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	163														
7	7	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	164														
7	7	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	165														
7	7	13	13	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	166									6					
7	7	79/6	79/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	167														
7	7	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	168														
7	7	27/2	27/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	169														
7	7	41/3	41/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	170														
7	7	83/6	83/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	171														
7	7	12	12	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	172														
7	7	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	173														
7	7	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	174														
7	7	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	175														
7	7	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	176														
7	7	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	177														
7	7	13	13	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	178									7					
7	7	79/6	79/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	179														
7	7	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	180														
7	7	27/2	27/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	181														
7	7	41/3	41/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	182														
7	7	83/6	83/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	183														
8	8	14	14	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	184	un-													
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	185	-ten													
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	186	fängt's													
8	8	61/4	61/4	0.0	5/16	5/16	Tempo	2/4	1	1	0										T	45.0	0.0						
8	8	61/4	61/4	0.0	5/16	5/16	Spanner	2/4	1	1	0																0		
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	187	schon		articStaccatoAbove						8			0		
8	8	31/2	31/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													8					
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	188	an		articStaccatoAbove						8					
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	189	zu		articStaccatoAbove											
8	8	85/6	85/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	190														
8	8	43/3	43/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	191														
8	8	29/2	29/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	192														
8	8	44/3	44/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	193														
8	8	89/6	89/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	194														
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	195														
8	8	61/4	61/4	0.0	5/16	5/16	Spanner	2/4	2	1	0																1		
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	196			articStaccatoAbove						9			1		
8	8	31/2	31/2	0.0	3/8	3/8	Spanner	2/4	2	1	0													9					
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	197			articStaccatoAbove						9					
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	198			articStaccatoAbove											
8	8	14	14	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	199														
8	8	85/6	85/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	200														
8	8	43/3	43/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	201														
8	8	29/2	29/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	202														
8	8	44/3	44/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	203														
8	8	89/6	89/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	204														
8	8	15	15	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	205														
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	206			articStaccatoBelow						10					
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	207			articStaccatoBelow						10					
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	208			articStaccatoBelow											
9	9	16	16	0.0	0	0	SystemText	2/4	1	1	0									Im Tempo									
9	9	16	16	0.0	0	0	Tempo	2/4	1	1	0										T	60.0	0.0						
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	209	blüh'n.													
9	9	97/6	97/6	0.0	1/24	1/24	Spanner	2/4	2	1	0																	6	
9	9	97/6	97/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	210													6	
9	9	49/3	49/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	211													6	
9	9	33/2	33/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	212													6	
9	9	50/3	50/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	213													6	
9	9	101/6	101/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	214													6	
9	9	17	17	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	215													6	
9	9	103/6	103/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	216													6	
9	9	52/3	52/3	0.0	1/3	1/3	Spanner	2/4	2	1	0																		
9	9	52/3	52/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	217														
9	9	35/2	35/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																		0
9	9	35/2	35/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	218														0
9	9	53/3	53/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	219														0
9	9	107/6	107/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	220														0
9	9	16	16	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	221														
9	9	97/6	97/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	222														
9	9	49/3	49/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	223														
