mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	SystemText	2/4	1	1	0									Ziemlich rasch.									
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0										T	60.0	0.0						
1	1	1	1	0.0	1/4	1/4	StaffText	2/4	1	1	0								Leidenschaftlich.										
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0						p												
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	0	Ü-													
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1	-berm													
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0						p												
1	1	1/6	1/6	0.0	1/24	1/24	Spanner	2/4	2	1	0																	0	
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	2									0				0	
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	3													0	
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	4									1				0	
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	5									1				0	
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	6													0	
1	1	1	1	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	7													0	
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	8													0	
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	9													0	
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	10													0	
1	1	5/3	5/3	0.0	5/12	5/12	Spanner	2/4	2	1	0																		
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	11														
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	12														
1	1	0	0	0.0	0	0	Spanner	2/4	3	1	0														0	0			
1	1	0	0	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	13										0	0			
1	1	1/6	1/6	0.0	1/24	1/24	Spanner	2/4	3	1	0																		
1	1	1/6	1/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	14									2					
1	1	1/3	1/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	15														
1	1	1/2	1/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	16									3					
1	1	2/3	2/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	17									3					
1	1	5/6	5/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	18														
1	1	1	1	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	19									4					
1	1	7/6	7/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	20									4					
1	1	4/3	4/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	21														
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	22														
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	23														
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	24														
2	2	2	2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	25	Gar-													
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	26	-ten													
2	2	3	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	27	durch								5					
2	2	13/4	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	28									5					
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	29														
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	30	die													
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	31														
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	32														
2	2	5/2	5/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																	1	
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	33													1	
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	34													1	
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	35													1	
2	2	3	3	0.16666666666666666	1/4	1/4	Chord	2/4	2	1	1/24		1/16	2/3	36													1	
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	37													1	
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	38													1	
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	1	1/24		1/16	2/3	39													1	
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	40													1	
