mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0								Nichtschnell,immersehrleise.	80.0	1.0				
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8		1/8	1	0	Es									
2	1	1/2	1/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	1	weiss									
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	2	und									
2	1	2	2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	3	räth									
2	1	11/4	11/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	4	es 									
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	5	doch									
2	1	1/2	1/2	0.0	0	0	Dynamic	6/8	2	1	0						p								
2	1	1/2	1/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	6			articStaccatoBelow							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	7			articStaccatoBelow							
2	1	2	2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	8			articStaccatoBelow							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	9			articStaccatoBelow							
2	1	1/2	1/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	10			articStaccatoAbove							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	11			articStaccatoAbove							
2	1	2	2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	12			articStaccatoAbove							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	13			articStaccatoAbove							
3	2	7/2	7/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	14	Kei-									
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	15	-ner,									
3	2	7/2	7/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	16							0			
