mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0								𝅘𝅥=90	90.0	𝅘𝅥	90.0	0.0						
1	1	0	0	0.0	0	0	SystemText	6/8	1	1	0							Ziemlich lebendig											
1	1	1	1	0.0	1/4	1/4	Dynamic	6/8	2	1	0					p													
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	0															
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	1															
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	2															
1	1	1	1	0.0	1/4	1/4	Spanner	6/8	3	1	0														0	0			
1	1	1	1	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	3											0	0			
1	1	3/2	3/2	0.0	3/8	3/8	Spanner	6/8	3	1	0																		
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	4															
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	5															
2	2	11/2	11/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					mf													
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	6	Es														
2	2	3	3	0.0	0	0	Spanner	6/8	2	1	0																	0	
2	2	3	3	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	7														0	
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	8														0	
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	9														0	
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	10														0	
2	2	3	3	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	11															
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	12															
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	13															
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	14															
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	15	zog														
3	3	7	7	0.25	1/4	1/4	Chord	6/8	1	1	1/16	1/16	1	16	ei-														
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16	1/16	1	17	-ne														
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																0		
3	3	15/2	15/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16	1/8	3/2	18	Hoch-												0		
3	3	33/4	33/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	19	-zeit												0		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	20	den												0		
3	3	6	6	0.0	0	0	Spanner	6/8	2	1	0																		
3	3	6	6	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	21															
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	22															
3	3	15/2	15/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																1		
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	23													1		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	24													1		
3	3	6	6	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	25															
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	26															
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	27															
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	28															
3	3	6	6	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	29															
4	4	9	9	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	30	Berg												0		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	31	ent-												0		
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	32	-lang,														
4	4	9	9	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	33													1		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	34													1		
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	35													1		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	36													1		
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	37													1		
4	4	9	9	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	38															
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	39															
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	40															
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	41															
4	4	9	9	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	42															
5	5	12	12	0.0	0	0	SystemText	6/8	1	1	0							Im Tempo											
5	5	12	12	0.0	0	0	Spanner	6/8	2	1	0																		
5	5	12	12	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	43			articAccentAbove												
