mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0									Zart,heimlich.	32.0			1.0			
1	1	0	0	0.0	0	0	Dynamic	3/8	2	1	0						p										
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	0										0		
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	1										0		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	2										0		
1	1	1	1	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	3										0		
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	4										0		
1	1	0	0	0.0	0	0	Dynamic	3/8	3	1	0						p										
1	1	0	0	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	5												
1	1	1	1	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	6										1		
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	7										0		
2	2	7/4	7/4	0.5	1/16	1/16	Chord	3/8	2	1	1/8		1/8	1	8										0		
2	2	9/4	9/4	0.5	3/16	3/16	Chord	3/8	2	1	1/8		1/8	1	9										0		
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	10										0		
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	11												
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	12												
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	13												
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	14												
2	2	3/2	3/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	15										1		
2	2	2	2	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	16										1		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	17										1		
3	3	3	3	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	18												
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	19										2		
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	20										2		
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	21										2		
3	3	3	3	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	22												
3	3	4	4	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	23												
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	24												
3	3	4	4	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	25										3		
4	4	9/2	9/2	0.0	0	0	Tempo	3/8	1	1	0									𝅘𝅥𝅮=58	29.0	𝅘𝅥𝅮	58.0	0.0			
4	4	9/2	9/2	0.0	0	0	StaffText	3/8	2	1	0								ritard.						2		
4	4	9/2	9/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	26												
4	4	19/4	19/4	0.5	1/16	1/16	Chord	3/8	3	1	1/8		1/8	1	27												
4	4	21/4	21/4	0.5	3/16	3/16	Chord	3/8	3	1	1/8		1/8	1	28												
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	29												
4	4	9/2	9/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	30										3		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	31										3		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	32												
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	3	3	1/16		1/16	1	33												
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	34			articStaccatoAbove							4		
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	35			articStaccatoAbove							4		
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	36			articStaccatoAbove							4		
5	5	7	7	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	37			articStaccatoAbove							4		
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	38			articStaccatoAbove							4		
5	5	6	6	0.0	0	0	Chord	3/8	3	1	0	grace16	1/16	1	39												
5	5	6	6	0.0	0	0	Chord	3/8	3	1	0	grace16	1/16	1	40												
5	5	6	6	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	41												
6	6	17/2	17/2	0.0	1/4	1/4	Dynamic	3/8	1	1	0						p										
6	6	17/2	17/2	0.0	1/4	1/4	Tempo	3/8	1	1	0									𝅘𝅥𝅮=64	32.0	𝅘𝅥𝅮	64.0	0.0			
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	42	Es											
6	6	15/2	15/2	0.0	0	0	Spanner	3/8	2	1	0																0
6	6	15/2	15/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	43			articStaccatoAbove									0
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	44			articStaccatoAbove							5		0
6	6	8	8	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	45			articStaccatoAbove							5		0
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	46			articStaccatoAbove							5		0
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	47			articStaccatoAbove							5		0
6	6	35/4	35/4	0.0	5/16	5/16	Dynamic	3/8	2	1	0						p								5		0
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	48			articStaccatoAbove							5		0
6	6	15/2	15/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	49												
7	7	9	9	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	50	war,											
7	7	10	10	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	51	als											
7	7	9	9	0.0	0	0	Spanner	3/8	2	1	0																
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	52			articStaccatoAbove									
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	53												
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	54												
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	55												
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	56												
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	57												
7	7	9	9	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	58										6		
8	8	21/2	21/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	59	hätt'									7		
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	60										7		
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	61										7		
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	62												
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	63	der											
8	8	21/2	21/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	64												
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	65												
8	8	11	11	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	66												
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	67												
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	68												
