mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	69												
8	8	21/2	21/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	70										6		
8	8	21/2	21/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	71												
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	72												
9	9	12	12	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	73	Him-											
9	9	13	13	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	74	-mel											
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	75												
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	76												
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	77												
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	78												
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	79												
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	80												
9	9	12	12	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	81												
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	82	die											
10	10	27/2	27/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	83												
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	84												
10	10	14	14	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	85												
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	86												
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	87												
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	88												
10	10	27/2	27/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	89												
10	10	27/2	27/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	90												
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	91												
11	11	15	15	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	92	Er-											
11	11	16	16	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	93	-de											
11	11	15	15	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	94												
11	11	61/4	61/4	0.0	1/16	1/16	Spanner	3/8	2	1	0																1
11	11	61/4	61/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	95												1
11	11	31/2	31/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	96												1
11	11	63/4	63/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	97												1
11	11	16	16	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	98												1
11	11	65/4	65/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	99												1
11	11	15	15	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	100												
11	11	15	15	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	101												
11	11	15	15	1.0	0	0	Chord	3/8	3	3	1/4		1/4	1	102												
11	11	16	16	0.5	1/4	1/4	Chord	3/8	3	3	1/8		1/8	1	103												
12	12	33/2	33/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	104	still		ornamentShortTrill							8		
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	105												
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	106	ge-											
12	12	33/2	33/2	0.0	0	0	Spanner	3/8	2	1	0																
12	12	33/2	33/2	0.0	0	0	Spanner	3/8	2	1	0															0	
12	12	33/2	33/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	107											0	
12	12	67/4	67/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	108											0	
12	12	17	17	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	109											0	
12	12	69/4	69/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	110											0	
12	12	35/2	35/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	111											0	
12	12	71/4	71/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	112											0	
12	12	33/2	33/2	0.0	0	0	Dynamic	3/8	3	1	0						mp										
12	12	33/2	33/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	113												
12	12	33/2	33/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	114												
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	115												
13	13	18	18	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	116	-küsst,											
13	13	18	18	0.0	0	0	Spanner	3/8	2	1	0																
13	13	18	18	0.0	0	0	Spanner	3/8	2	1	0																2
13	13	18	18	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	117												2
13	13	73/4	73/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	118												2
13	13	37/2	37/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	119												2
13	13	75/4	75/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	120												2
13	13	19	19	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	121												2
13	13	77/4	77/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	122												2
13	13	18	18	0.0	0	0	Dynamic	3/8	3	1	0						p										
13	13	18	18	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	123												
14	14	39/2	39/2	0.0	0	0	Spanner	3/8	2	1	0																
14	14	39/2	39/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	124												
14	14	79/4	79/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	125												
14	14	20	20	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	126												
14	14	81/4	81/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	127												
14	14	41/2	41/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	128												
14	14	83/4	83/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	129												
14	14	39/2	39/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	130												
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	131	dass											
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	132	sie											
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	133	im											
15	15	21	21	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	134												
15	15	85/4	85/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	135												
15	15	43/2	43/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	136												
15	15	87/4	87/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	137												
15	15	22	22	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	138												
15	15	89/4	89/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	139												
15	15	21	21	1.0	0	0	Chord	3/8	3	1	1/4		1/4	1	140												
15	15	22	22	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	141												
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	142	Blü-									9		
16	16	23	23	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	143										9		
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	144										9		
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	145												
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	146	-ten-											
16	16	45/2	45/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	147												
16	16	91/4	91/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	148												
16	16	23	23	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	149												
16	16	93/4	93/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	150												
16	16	47/2	47/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	151												
16	16	95/4	95/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	152												
16	16	45/2	45/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	153												
16	16	45/2	45/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	154												
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	155												
17	17	24	24	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	156	-schim-											
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	157	-mer											
17	17	24	24	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	158												
17	17	97/4	97/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	159												
17	17	49/2	49/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	160												
17	17	99/4	99/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	161												
17	17	25	25	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	162												
17	17	101/4	101/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	163												
17	17	24	24	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	164												
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	165	von											
18	18	51/2	51/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	166												
18	18	103/4	103/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	167												
18	18	26	26	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	168												
18	18	105/4	105/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	169												
18	18	53/2	53/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	170												
18	18	107/4	107/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	171												
18	18	51/2	51/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	172										10		
18	18	51/2	51/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	173												
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	174												
19	19	27	27	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	175	ihm											
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	176	nur											
19	19	27	27	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	177												
19	19	109/4	109/4	0.0	1/16	1/16	Spanner	3/8	2	1	0																3
19	19	109/4	109/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	178												3
19	19	55/2	55/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	179												3
19	19	111/4	111/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	180												3
19	19	28	28	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	181												3
19	19	113/4	113/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	182												3
19	19	27	27	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	183										10		
19	19	27	27	1.5	0	0	Chord	3/8	3	2	3/8		1/4	3/2	184												
19	19	27	27	1.0	0	0	Chord	3/8	3	3	1/4		1/4	1	185												
19	19	28	28	0.5	1/4	1/4	Chord	3/8	3	3	1/8		1/8	1	186												
20	20	57/2	57/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	187	träu-		ornamentShortTrill							11		
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	188												
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	189	-men											
20	20	57/2	57/2	0.0	0	0	Spanner	3/8	2	1	0																
20	20	57/2	57/2	0.0	0	0	Spanner	3/8	2	1	0															1	
20	20	57/2	57/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	190											1	
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	191											1	
20	20	29	29	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	192											1	
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	193											1	
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	194											1	
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	195											1	
20	20	57/2	57/2	0.0	0	0	Dynamic	3/8	3	1	0						mp								10		
20	20	57/2	57/2	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	196										10		
20	20	57/2	57/2	1.0	0	0	Chord	3/8	3	2	1/4		1/4	1	197												
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	198												
21	21	30	30	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	199	müsst'.											
21	21	30	30	0.0	0	0	Spanner	3/8	2	1	0																
21	21	30	30	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	200										12		
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	201			articStaccatoBelow							12		
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	202			articStaccatoBelow							12		
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	203			articStaccatoBelow							12		
21	21	31	31	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	204			articStaccatoBelow							12		
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	205			articStaccatoBelow							12		
21	21	30	30	0.0	0	0	Dynamic	3/8	3	1	0						pp										
21	21	30	30	1.5	0	0	Chord	3/8	3	1	3/8		1/4	3/2	206												
22	22	63/2	63/2	0.0	0	0	Tempo	3/8	1	1	0									𝅘𝅥𝅮=58	29.0	𝅘𝅥𝅮	58.0	0.0			
22	22	63/2	63/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	207												
22	22	63/2	63/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	208			articStaccatoBelow							13		
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	209			articStaccatoBelow							13		
22	22	32	32	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	210			articStaccatoBelow							13		
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	211			articStaccatoBelow							13		
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	212			articStaccatoBelow							13		
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	213			articStaccatoBelow							13		
22	22	63/2	63/2	0.0	0	0	StaffText	3/8	3	1	0								ritard.								
23	23	33	33	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	214												
23	23	133/4	133/4	0.0	1/16	1/16	Dynamic	3/8	2	1	0						p										
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	215										14		
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	216										14		
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	217										14		
23	23	34	34	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	218										14		
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	219										14		
23	23	34	34	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	220										15		
24	24	69/2	69/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	221										14		
24	24	139/4	139/4	0.5	1/16	1/16	Chord	3/8	2	1	1/8		1/8	1	222										14		
24	24	141/4	141/4	0.5	3/16	3/16	Chord	3/8	2	1	1/8		1/8	1	223										14		
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	224										14		
24	24	69/2	69/2	0.25	0	0	Chord	3/8	2	2	1/16		1/16	1	225												
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16		1/16	1	226												
24	24	35	35	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	227												
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	228												
24	24	69/2	69/2	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	229										15		
24	24	35	35	0.5	1/8	1/8	Chord	3/8	3	1	1/8		1/8	1	230										15		
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	3	1	1/8		1/8	1	231										15		
25	25	36	36	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	232												
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	233										16		
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	234										16		
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	235										16		
25	25	36	36	0.5	0	0	Chord	3/8	3	1	1/8		1/8	1	236												
25	25	37	37	0.25	1/4	1/4	Chord	3/8	3	1	1/16		1/16	1	237												
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	238												
25	25	37	37	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	239										17		
26	26	75/2	75/2	0.0	0	0	Tempo	3/8	1	1	0									𝅘𝅥𝅮=54	27.0	𝅘𝅥𝅮	54.0	0.0			
26	26	75/2	75/2	0.0	0	0	StaffText	3/8	2	1	0								ritard.						16		
26	26	75/2	75/2	0.25	0	0	Chord	3/8	3	1	1/16		1/16	1	240												
26	26	151/4	151/4	0.5	1/16	1/16	Chord	3/8	3	1	1/8		1/8	1	241												
26	26	153/4	153/4	0.5	3/16	3/16	Chord	3/8	3	1	1/8		1/8	1	242												
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	3	1	1/16		1/16	1	243												
26	26	75/2	75/2	0.5	0	0	Chord	3/8	3	2	1/8		1/8	1	244										17		
26	26	38	38	0.5	1/8	1/8	Chord	3/8	3	2	1/8		1/8	1	245										17		
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	3	2	1/8		1/8	1	246												
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	3	3	1/16		1/16	1	247												
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	248			articStaccatoAbove							18		
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	249			articStaccatoAbove							18		
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	250			articStaccatoAbove							18		
27	27	40	40	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	251			articStaccatoAbove							18		
27	27	161/4	161/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	252			articStaccatoAbove							18		
