mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
12	12	106/3	106/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	107													
12	12	107/3	107/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	108	al-												
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	109											2		
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	110											2		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	111											2		
12	12	71/2	71/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						ff									2		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	112											2		
12	12	33	33	0.0	0	0	Chord	3/4	3	1	0	grace16	1/16	1	113													
12	12	33	33	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	114													
12	12	35	35	0.0	1/2	1/2	Chord	3/4	3	1	0	grace16	1/16	1	115													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	116													
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	117	-lein,												
13	13	38	38	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f											
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	118	du												
13	13	36	36	0.0	0	0	Spanner	3/4	2	1	0																	
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	119													
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	120													
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	121													
13	13	77/2	77/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						f											
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	122													
13	13	36	36	0.0	0	0	Dynamic	3/4	3	1	0						mf											
13	13	36	36	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	123													
13	13	37	37	0.0	1/4	1/4	Dynamic	3/4	3	1	0						sf											
13	13	37	37	0.0	1/4	1/4	Spanner	3/4	3	1	0																	0
13	13	37	37	0.0	1/4	1/4	Chord	3/4	3	1	0	grace16	1/16	1	124													0
13	13	37	37	0.0	1/4	1/4	Chord	3/4	3	1	0	grace16	1/16	1	125													0
13	13	37	37	0.0	1/4	1/4	Chord	3/4	3	1	0	grace16	1/16	1	126													0
13	13	37	37	0.0	1/4	1/4	Chord	3/4	3	1	0	grace16after	1/16	1	127													0
13	13	37	37	0.0	1/4	1/4	Chord	3/4	3	1	0	grace16after	1/16	1	128													0
13	13	37	37	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	129													0
14	14	39	39	0.0	0	0	Dynamic	3/4	1	1	0						fff											
14	14	39	39	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	130	schö-		articAccentAbove										
14	14	159/4	159/4	0.0	3/16	3/16	Dynamic	3/4	1	1	0						f											
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	131	-ne												
14	14	40	40	0.0	1/4	1/4	Tempo	3/4	1	1	0									𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0				
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	132	Braut,												
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	133	ich												
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	134	führ'									12			
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	135													
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	136	dich												
14	14	39	39	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	137													
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	138													
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	139													
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	140													
14	14	39	39	0.0	0	0	Spanner	3/4	3	1	0																	
14	14	39	39	0.75	0	0	Chord	3/4	3	1	3/16		1/8	3/2	141			articAccentAbove										
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16		1/16	1	142													
14	14	40	40	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	143													
14	14	41	41	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	144													
14	14	39	39	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	145													
15	15	42	42	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	146	heim!												
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	147										13			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	148										13			
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	149										13			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	150													
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	151													
15	15	42	42	0.0	0	0	Dynamic	3/4	3	1	0						p											
15	15	42	42	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	152										14			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	153										14			
15	15	43	43	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	154										14			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	155										14			
15	15	44	44	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	156													
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	157										15			
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	158										15			
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	159										15			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	160													
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	161													
16	16	45	45	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	162										16			
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	163										16			
16	16	46	46	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	164										16			
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	165										16			
16	16	47	47	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	166													
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0						p											
17	17	48	48	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	167	Gross												
17	17	50	50	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	168	ist												
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	169	der												
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	170										17			
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	171										17			
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	172										17			
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	173													
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	174													
17	17	48	48	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	175										18			
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	176										18			
17	17	49	49	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	177										18			
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	178										18			
17	17	50	50	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	179													
18	18	51	51	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	180	Män-												
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	181	-ner												
18	18	51	51	0.0	0	0	Dynamic	3/4	2	1	0						p											
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0															4		
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	182										19	4		
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	183										19	4		
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	184										19	4		
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	185											4		
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	186											4		
18	18	51	51	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	187										20			
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	188										20			
18	18	52	52	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	189										20			
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	190										20			
18	18	53	53	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	191													
19	19	54	54	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	192	Trug									21			
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	193			ornamentShortTrill							21			
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	194													
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	195	und												
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	196										22	4		
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	197										22	4		
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	198										22	4		
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	199											4		
19	19	113/2	113/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						mf									4		
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	200											4		
19	19	54	54	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	201										23			
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	202										23			
19	19	55	55	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	203										23			
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	204										23			
19	19	56	56	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	205													
20	20	57	57	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	206	List,												
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	207	vor												
20	20	57	57	0.0	0	0	Spanner	3/4	2	1	0																	
20	20	57	57	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	208										24			
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	209										24			
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	210										24			
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	211													
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	212													
20	20	57	57	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	213										25			
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	214										25			
20	20	58	58	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	215										25			
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	216										25			
20	20	59	59	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	217													
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	218	Schmerz												
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	219	mein												
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	220										26			
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	221										26			
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	222										26			
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	223													
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	224													
21	21	60	60	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	225										27			
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	226										27			
21	21	61	61	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	227										27			
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	228										27			
21	21	62	62	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	229													
22	22	63	63	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	230	Herz												
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	231	ge-												
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	232										28			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	233										28			
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	234										28			
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	235													
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	236													
22	22	63	63	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	237			articAccentAbove							29			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	238										29			
22	22	64	64	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	239										29			
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	240										29			
22	22	65	65	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	241													
23	23	66	66	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	242	-bro-									30			
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	243			ornamentShortTrill							30			
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	244													
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245	-chen												
23	23	66	66	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	246										31			
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	247										31			
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	248										31			
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	249													
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	250													
23	23	66	66	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	251			articAccentAbove							32			
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	252										32			
23	23	67	67	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	253										32			
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	254										32			
23	23	68	68	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	255													
