mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									Langsam	70.0			1.0					
1	1	1/2	1/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0						p												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	0										0				
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	1										0				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	2										0				
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	3										0				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	4										0				
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	5										0				
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	6										0				
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	7														
2	2	4	4	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	8										0				
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	9										0				
2	2	6	6	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	10										0				
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	11										0				
2	2	4	4	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	12														
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	13														
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	14														
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	15														
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	16														
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	17														
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	18														
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	19										1				
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	20										1				
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	21										1				
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	22										1				
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	23										1				
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	24										1				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	25										1				
3	3	8	8	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	26														
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	27														
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	28										1				
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	29										1				
4	4	14	14	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	30										1				
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	31														
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	32														
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	33														
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	34														
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	35														
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	36														
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	37														
5	5	16	16	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	38														
