mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	crescendo_hairpin	decrescendo_hairpin
6	6	47/4	47/4	0.0	7/16	7/16	Dynamic	2/4	3	1	0					mf											
6	6	47/4	47/4	0.0	7/16	7/16	Spanner	2/4	3	1	0																
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	62													
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	63	fröh-											1	
7	7	25/2	25/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					f											
7	7	25/2	25/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	64	-lich												
7	7	49/4	49/4	0.0	1/16	1/16	Dynamic	2/4	2	1	0					mf											
7	7	49/4	49/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															3	
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	65										8		3	
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	66										8		3	
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	67										8		3	
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	68										8		3	
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	69										8		3	
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	70										8		3	
7	7	55/4	55/4	0.0	7/16	7/16	Dynamic	2/4	2	1	0					f								8			
7	7	55/4	55/4	0.0	7/16	7/16	Spanner	2/4	2	1	0													8			
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	71										8			
7	7	12	12	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	72													
7	7	12	12	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	73													
7	7	49/4	49/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	74													
7	7	51/4	51/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	75													
7	7	53/4	53/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	76													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	77													
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	3	2	1/16	1/16	1	78													
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	3	2	1/16	1/16	1	79													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	3	2	1/16	1/16	1	80													
8	8	57/4	57/4	0.0	1/16	1/16	Dynamic	2/4	1	1	0					mf											
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	81	mich												
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	82	an												
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	83	zu												
8	8	15	15	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	84	je-												
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	85	-der												
8	8	14	14	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	86													
8	8	57/4	57/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	87													
8	8	59/4	59/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	88													
8	8	61/4	61/4	0.0	5/16	5/16	Spanner	2/4	2	1	0																0
8	8	61/4	61/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	89													0
8	8	63/4	63/4	0.0	7/16	7/16	Dynamic	2/4	2	1	0					mf											
8	8	63/4	63/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	90													
8	8	14	14	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	91													
8	8	57/4	57/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	92			articAccentAbove										
8	8	59/4	59/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	93													
8	8	61/4	61/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	94													
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	95													
8	8	14	14	1.0	0	0	Chord	2/4	3	2	1/4	1/4	1	96													
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					f											
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	97	Stund'.												
9	9	71/4	71/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p											
9	9	71/4	71/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0				
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	98	Mein												
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	99													
9	9	65/4	65/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	100													
9	9	67/4	67/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	101													
9	9	69/4	69/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	102													
9	9	71/4	71/4	0.0	7/16	7/16	Dynamic	2/4	2	1	0					p											
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	103													
9	9	16	16	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	104													
9	9	65/4	65/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	105													
9	9	67/4	67/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	106													
9	9	69/4	69/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	107													
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	108													
10	10	18	18	0.0	0	0	StaffText	2/4	1	1	0							nach									
10	10	18	18	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=40.5	40.0	𝅘𝅥	40.5	0.0				
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	109	Herz												
10	10	73/4	73/4	0.0	1/16	1/16	Tempo	2/4	1	1	0								𝅘𝅥=41	41.0	𝅘𝅥	41.0	0.0				
10	10	75/4	75/4	0.0	3/16	3/16	Tempo	2/4	1	1	0								𝅘𝅥=42	42.0	𝅘𝅥	42.0	0.0				
10	10	19	19	0.0	1/4	1/4	Tempo	2/4	1	1	0								𝅘𝅥=42.5	42.0	𝅘𝅥	42.5	0.0				
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	110	still												
10	10	77/4	77/4	0.0	5/16	5/16	Tempo	2/4	1	1	0								𝅘𝅥=43	43.0	𝅘𝅥	43.0	0.0				
10	10	39/2	39/2	0.0	3/8	3/8	Tempo	2/4	1	1	0								𝅘𝅥=43.5	44.0	𝅘𝅥	43.5	0.0				
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	111	in												
10	10	79/4	79/4	0.0	7/16	7/16	StaffText	2/4	1	1	0							und									
10	10	79/4	79/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=44	44.0	𝅘𝅥	44.0	0.0				
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	112	sich												
10	10	18	18	0.0	0	0	StaffText	2/4	2	1	0							nach									
10	10	18	18	0.0	0	0	Spanner	2/4	2	1	0															4	
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	113												4	
10	10	73/4	73/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	114												4	
10	10	75/4	75/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	115												4	
10	10	77/4	77/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	116												4	
10	10	79/4	79/4	0.0	7/16	7/16	StaffText	2/4	2	1	0							und									
10	10	79/4	79/4	0.0	7/16	7/16	Dynamic	2/4	2	1	0					mp											
10	10	79/4	79/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	117													
10	10	18	18	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	118													
10	10	73/4	73/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	119													
10	10	75/4	75/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	120													
10	10	77/4	77/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	121													
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	122													
11	11	20	20	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=44.5	45.0	𝅘𝅥	44.5	0.0				
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	123	sin-												
11	11	81/4	81/4	0.0	1/16	1/16	Tempo	2/4	1	1	0								𝅘𝅥=45	45.0	𝅘𝅥	45.0	0.0				
11	11	41/2	41/2	0.0	1/8	1/8	Tempo	2/4	1	1	0								𝅘𝅥=45.5	45.0	𝅘𝅥	45.5	0.0				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	124	-get												
11	11	83/4	83/4	0.0	3/16	3/16	Tempo	2/4	1	1	0								𝅘𝅥=46	46.0	𝅘𝅥	46.0	0.0				
11	11	21	21	0.0	1/4	1/4	StaffText	2/4	1	1	0							nach									
11	11	21	21	0.0	1/4	1/4	Tempo	2/4	1	1	0								𝅘𝅥=46.5	46.0	𝅘𝅥	46.5	0.0				
11	11	85/4	85/4	0.0	5/16	5/16	Tempo	2/4	1	1	0								𝅘𝅥=47	47.0	𝅘𝅥	47.0	0.0				
11	11	43/2	43/2	0.0	3/8	3/8	Tempo	2/4	1	1	0								𝅘𝅥=47.5	48.0	𝅘𝅥	47.5	0.0				
11	11	87/4	87/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=48	48.0	𝅘𝅥	48.0	0.0				
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	125	ein												
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	126													
11	11	81/4	81/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	127													
11	11	83/4	83/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	128													
11	11	85/4	85/4	0.0	5/16	5/16	StaffText	2/4	2	1	0							nach									
11	11	85/4	85/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	129													
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	130													
11	11	20	20	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	131													
11	11	81/4	81/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	132													
11	11	83/4	83/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	133													
11	11	85/4	85/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	134													
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	135													
12	12	22	22	0.0	0	0	StaffText	2/4	1	1	0							schneller									
12	12	22	22	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=48.5	48.0	𝅘𝅥	48.5	0.0				
12	12	22	22	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	136	al-												
12	12	89/4	89/4	0.0	1/16	1/16	Tempo	2/4	1	1	0								𝅘𝅥=49	49.0	𝅘𝅥	49.0	0.0				
12	12	91/4	91/4	0.0	3/16	3/16	Tempo	2/4	1	1	0								𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0				
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	137	-tes												
12	12	23	23	0.0	1/4	1/4	Tempo	2/4	1	1	0								𝅘𝅥=50.5	51.0	𝅘𝅥	50.5	0.0				
12	12	23	23	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	138	schö-		ornamentTurn										
12	12	93/4	93/4	0.0	5/16	5/16	Tempo	2/4	1	1	0								𝅘𝅥=51	51.0	𝅘𝅥	51.0	0.0				
12	12	95/4	95/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0				
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	139	-nes												
12	12	22	22	0.0	0	0	StaffText	2/4	2	1	0							schneller									
12	12	22	22	0.0	0	0	Dynamic	2/4	2	1	0					mp											
12	12	22	22	0.0	0	0	Spanner	2/4	2	1	0															5	
12	12	22	22	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	140												5	
12	12	89/4	89/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	141												5	
12	12	91/4	91/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	142												5	
12	12	93/4	93/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	143												5	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	144												5	
12	12	22	22	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	145													
12	12	89/4	89/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	146													
12	12	91/4	91/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	147													
12	12	93/4	93/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	148													
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	149													
13	13	24	24	0.0	0	0	StaffText	2/4	1	1	0							und									
13	13	24	24	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=52.5	52.0	𝅘𝅥	52.5	0.0				
13	13	24	24	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	150	Lied,												
13	13	97/4	97/4	0.0	1/16	1/16	Tempo	2/4	1	1	0								𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0				
13	13	99/4	99/4	0.0	3/16	3/16	Tempo	2/4	1	1	0								𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0				
13	13	101/4	101/4	0.0	5/16	5/16	Tempo	2/4	1	1	0								𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0				
13	13	103/4	103/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0				
13	13	24	24	0.0	0	0	StaffText	2/4	2	1	0							und								5	
13	13	24	24	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	151												5	
13	13	97/4	97/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	152												5	
13	13	99/4	99/4	0.0	3/16	3/16	Dynamic	2/4	2	1	0					mf											
13	13	99/4	99/4	0.0	3/16	3/16	Spanner	2/4	2	1	0																
13	13	99/4	99/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	153													
13	13	101/4	101/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	154													
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	155													
13	13	24	24	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	156													
13	13	97/4	97/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	157													
13	13	99/4	99/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	158													
13	13	101/4	101/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	159													
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	160													
14	14	26	26	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=56.5	57.0	𝅘𝅥	56.5	0.0				
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	161	das												
14	14	105/4	105/4	0.0	1/16	1/16	Tempo	2/4	1	1	0								𝅘𝅥=57	57.0	𝅘𝅥	57.0	0.0				
14	14	53/2	53/2	0.0	1/8	1/8	Tempo	2/4	1	1	0								𝅘𝅥=57.5	57.0	𝅘𝅥	57.5	0.0				
14	14	53/2	53/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32	1/16	3/2	162	in												
14	14	107/4	107/4	0.0	3/16	3/16	Tempo	2/4	1	1	0								𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0				
14	14	215/8	215/8	0.0	7/32	7/32	Tempo	2/4	1	1	0								𝅘𝅥=58.3	58.0	𝅘𝅥	58.3	0.0				
14	14	215/8	215/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32	1/32	1	163	die												
14	14	27	27	0.0	1/4	1/4	StaffText	2/4	1	1	0							schneller									
14	14	27	27	0.0	1/4	1/4	Tempo	2/4	1	1	0								𝅘𝅥=58.5	58.0	𝅘𝅥	58.5	0.0				
14	14	27	27	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	164	Luft												
14	14	109/4	109/4	0.0	5/16	5/16	Tempo	2/4	1	1	0								𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0				
14	14	111/4	111/4	0.0	7/16	7/16	Tempo	2/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0				
14	14	111/4	111/4	0.0	7/16	7/16	Spanner	2/4	1	1	0														0		
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	165	sich										0		
14	14	26	26	0.0	0	0	Dynamic	2/4	2	1	0					mf											
14	14	26	26	0.0	0	0	Spanner	2/4	2	1	0															6	
14	14	26	26	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	166												6	
14	14	105/4	105/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	167												6	
14	14	107/4	107/4	0.0	3/16	3/16	StaffText	2/4	2	1	0							schneller									
14	14	107/4	107/4	0.0	3/16	3/16	Dynamic	2/4	2	1	0					f											
14	14	107/4	107/4	0.0	3/16	3/16	Spanner	2/4	2	1	0																
14	14	107/4	107/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	168													
14	14	109/4	109/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	169													
14	14	111/4	111/4	0.0	7/16	7/16	Dynamic	2/4	2	1	0					mp											
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	170													
14	14	26	26	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	171													
14	14	105/4	105/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	172													
14	14	107/4	107/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	173													
14	14	109/4	109/4	0.0	5/16	5/16	Dynamic	2/4	3	1	0					f											
14	14	109/4	109/4	0.0	5/16	5/16	Spanner	2/4	3	1	0																1
14	14	109/4	109/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	174													1
14	14	111/4	111/4	0.0	7/16	7/16	Spanner	2/4	3	1	0																
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	175													
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	176	schwin-										0		
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	177	-get										0		
15	15	28	28	0.0	0	0	Spanner	2/4	2	1	0															7	
15	15	28	28	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	178												7	
15	15	113/4	113/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	179												7	
15	15	115/4	115/4	0.0	3/16	3/16	Dynamic	2/4	2	1	0					mf											
15	15	115/4	115/4	0.0	3/16	3/16	Spanner	2/4	2	1	0																
15	15	115/4	115/4	0.5	3/16	3/16	Chord	2/4	2	1	1/8	1/8	1	180													
