mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Langsam.	40.0			1.0				
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	0	Dein												
1	1	1/4	1/4	0.0	1/16	1/16	Dynamic	2/4	2	1	0					p											
1	1	1/4	1/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	1			articStaccatoAbove							0			
1	1	3/4	3/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	2			articStaccatoAbove							0			
1	1	5/4	5/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	3			articStaccatoAbove							0			
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	4			articStaccatoAbove										
2	2	2	2	0.75	0	0	Chord	2/4	1	1	3/16	1/8	3/2	5	Bild-												
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	6	-niss												
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	7	wun-												
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	8	-der-												
2	2	2	2	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	9													
2	2	9/4	9/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	10			articStaccatoAbove							1			
2	2	11/4	11/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	11			articStaccatoAbove							1			
2	2	13/4	13/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	12			articStaccatoAbove							1			
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	13			articStaccatoAbove										
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	14	-se-												
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	15	-lig												
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	16										2			
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	17													
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	18													
3	3	4	4	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	19													
3	3	17/4	17/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	20													
3	3	19/4	19/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	21													
3	3	21/4	21/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	22													
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	23													
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	24	hab'												
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	25	ich												
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	26	im												
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	27	Her-												
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	28	-zens-												
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	29													
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	30										3			
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	31													
4	4	6	6	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	32													
4	4	6	6	0.0	0	0	Dynamic	2/4	3	1	0					p											
4	4	6	6	0.0	0	0	Spanner	2/4	3	1	0															0	
4	4	6	6	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	33												0	
4	4	25/4	25/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	34												0	
4	4	27/4	27/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	35												0	
4	4	29/4	29/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	36												0	
4	4	31/4	31/4	0.0	7/16	7/16	Dynamic	2/4	3	1	0					mp											
4	4	31/4	31/4	0.0	7/16	7/16	Spanner	2/4	3	1	0																
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	37													
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0					mp											
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	38	-grund,												
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	39	das												
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	40													
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	41													
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	42										4			
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	43										5			
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	44													
5	5	8	8	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	45													
5	5	33/4	33/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	46													
5	5	35/4	35/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	47													
5	5	37/4	37/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	48													
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16	1/16	1	49													
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	50	sieht									6			
6	6	21/2	21/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					mp											
6	6	21/2	21/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															1	
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	51												1	
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	52	so											1	
6	6	11	11	0.75	1/4	1/4	Chord	2/4	1	1	3/16	1/8	3/2	53	frisch											1	
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	54	und											1	
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	55													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	56										7			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	57													
6	6	10	10	0.0	0	0	Dynamic	2/4	3	1	0					mp											
6	6	10	10	0.0	0	0	Spanner	2/4	3	1	0															2	
6	6	10	10	0.25	0	0	Chord	2/4	3	1	1/16	1/16	1	58												2	
6	6	41/4	41/4	0.5	1/16	1/16	Chord	2/4	3	1	1/8	1/8	1	59												2	
6	6	43/4	43/4	0.5	3/16	3/16	Chord	2/4	3	1	1/8	1/8	1	60												2	
6	6	45/4	45/4	0.5	5/16	5/16	Chord	2/4	3	1	1/8	1/8	1	61												2	
