mc	mn	onset	label
1	1	0	.F#.I
1	1	3/8	V7/IV
2	2	0	V65/ii
3	3	0	ii
3	3	3/8	ii7
4	4	0	V65/III
5	5	0	iii(9)
5	5	1/8	iii
5	5	1/4	V65/ii
6	6	0	ii(9)
6	6	1/8	ii
6	6	1/4	V43/vi
7	7	0	vi
7	7	1/4	I64
8	8	0	V7(9)/V
9	9	0	V\\
9	9	1/4	V7
10	10	0	I
11	11	0	V43
12	12	0	I
13	13	0	V43
14	14	0	I6(#4#2)
14	14	1/8	iii
14	14	1/4	V7/vi
15	15	0	IV(+#2)
15	15	1/8	IV
15	15	1/4	viio43
16	16	0	V65/V
17	17	0	V[V\\
17	17	1/8	#viio43/V
17	17	1/4	V7(6#4#2)
17	17	3/8	V7]
18	18	0	I
18	18	3/8	V//IV
19	19	0	V65/ii
20	20	0	ii
20	20	3/8	ii7
21	21	0	V65/iii
22	22	0	iii
22	22	1/4	V65/ii
23	23	0	ii
23	23	1/4	V65
24	24	0	I\\
24	24	3/8	V65/V
25	25	0	V(64)
25	25	5/16	V(#8#7b64)
25	25	3/8	V7(94)
25	25	7/16	V
26	26	0	I[V7/IV\\
27	27	0	IV(+4)
27	27	1/8	IV
27	27	1/4	ii6
27	27	3/8	V2
28	28	0	I]\\
