mc	mn	onset	label
1	1	0	.E.V7(+9)
1	1	1/4	V2
2	2	0	ii6
2	2	1/8	I6
2	2	1/4	viio2/V
3	3	0	V\\
3	3	1/8	V7(+9)
3	3	1/4	V2
4	4	0	ii6
4	4	1/8	I6
4	4	1/4	viio2
5	5	0	V\\
6	6	0	V65/ii
8	8	0	ii
8	8	1/4	ii2
9	9	0	V65
10	10	0	I
13	13	0	V\\
14	14	0	V65/ii
16	16	0	ii
16	16	1/4	ii2
17	17	0	V65
18	18	0	I
21	21	0	V\\
23	23	0	V7(+9)
23	23	1/4	V2
24	24	0	ii6
24	24	1/8	I6
24	24	1/4	viio2/V
25	25	0	V\\
25	25	1/8	V7(+9)
25	25	1/4	V2
26	26	0	ii6
26	26	1/8	I6
26	26	1/4	viio2/V
27	27	0	V\\
28	28	0	V65/ii
30	30	0	ii(9)
30	30	1/8	ii
30	30	1/4	ii2
31	31	0	V65
32	32	0	I
35	35	0	V\\
36	36	0	V65/ii
38	38	0	ii(9)
38	38	1/4	ii2
39	39	0	V65
40	40	0	I(9)
40	40	1/4	I
43	43	0	V[V\\
43	43	1/8	vi
43	43	1/4	V
44	44	0	V
44	44	1/8	ii
44	44	1/4	I]
45	45	0	V43
47	47	0	V7(+94)/IV
47	47	1/4	V2/IV
48	48	0	IV.ii6
48	48	1/8	I6
48	48	1/4	viio6
48	48	5/16	V7/V
49	49	0	I.V65/IV
50	50	0	I+6
51	51	0	IV
52	52	0	V43/ii
53	53	0	ii
54	54	0	ii2
55	55	0	V65
56	56	0	I
58	58	0	V(64)
58	58	1/4	V2
59	59	0	V65/IV
60	60	0	IV(4)
60	60	1/4	IV
61	61	0	I\\
61	61	5/16	V43/V
62	62	0	V7
63	63	0	I
63	63	5/16	V43/V
64	64	0	V7
65	65	0	I\\
