mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	3	1	A.I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
2	2	2	2	1.0	0	0	2/4	3	1	I[I(4)	A	I	I	I(4)	I			4				M	0	0	0, -1, 1		0	0
2	2	3	3	0.5	1/4	1/4	2/4	3	1	#viio43(2)/ii	A	I	I	#viio43(2)/ii	#vii	o	43	2	ii			o7	0	0	1, -2, 2, 4		7	1
2	2	7/2	7/2	0.5	3/8	3/8	2/4	3	1	#viio7/ii	A	I	I	#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
3	3	4	4	0.5	0	0	2/4	3	1	V43(9)/V	A	I	I	V43(9)/V	V		43	9	V			Mm7	0	0	3, 0, 2, 6	4	2	3
3	3	9/2	9/2	1.5	1/8	1/8	2/4	3	1	V43/V	A	I	I	V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
4	4	6	6	1.0	0	0	2/4	3	1	V65(9)	A	I	I	V65(9)	V		65	9				Mm7	0	0	5, 2, -1, 1	3	1	5
4	4	7	7	1.0	1/4	1/4	2/4	3	1	V65	A	I	I	V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	8	8	0.5	0	0	2/4	3	1	I(94)	A	I	I	I(94)	I			94				M	0	0	0, -1, 1	2	0	0
5	5	17/2	17/2	0.5	1/8	1/8	2/4	3	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
5	5	9	9	2.0	1/4	1/4	2/4	3	1	I+	A	I	I	I+	I	+						+	0	0	0, 4, 8		0	0
6	6	11	11	1.0	1/4	1/4	2/4	3	1	vi6	A	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
7	7	12	12	0.5	0	0	2/4	3	1	V2(4)/V	A	I	I	V2(4)/V	V		2	4	V			Mm7	0	0	0, 2, 1, 3		2	0
7	7	25/2	25/2	0.5	1/8	1/8	2/4	3	1	V2/V]	A	I	I	V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
7	7	13	13	0.5	1/4	1/4	2/4	3	1	V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	27/2	27/2	0.5	3/8	3/8	2/4	3	1	V+6	A	I		V+6	V	+	6					+	0	0	5, 9, 1		1	5
8	8	14	14	0.75	0	0	2/4	3	1	V.ii65	A	V		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	8	59/4	59/4	0.25	3/16	3/16	2/4	3	1	viio7/V	A	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
8	8	15	15	0.75	1/4	1/4	2/4	3	1	V(64)	A	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	63/4	63/4	0.25	7/16	7/16	2/4	3	1	V7	A	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	16	16	2.5	0	0	2/4	3	1	I\\	A	V		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	37/2	37/2	0.5	1/8	1/8	2/4	3	1	V2/IV	A	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
10	10	19	19	1.0	1/4	1/4	2/4	3	1	ii.V43	A	ii		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
11	11	20	20	1.75	0	0	2/4	3	1	i	A	ii		i	i							m	0	1	0, -3, 1		0	0
11	11	87/4	87/4	0.25	7/16	7/16	2/4	3	1	i2	A	ii		i2	i		2					mm7	0	1	-2, 0, -3, 1		0	-2
12	12	22	22	1.0	0	0	2/4	3	1	IV.IV	A	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
12	12	23	23	1.0	1/4	1/4	2/4	3	1	V43	A	IV		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	24	24	1.0	0	0	2/4	3	1	I(4)	A	IV		I(4)	I			4				M	0	0	0, -1, 1		0	0
13	13	25	25	0.75	1/4	1/4	2/4	3	1	I	A	IV		I	I							M	0	0	0, 4, 1		0	0
13	13	103/4	103/4	0.25	7/16	7/16	2/4	3	1	V2/IV	A	IV		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
14	14	26	26	2.0	0	0	2/4	3	1	vi	A	IV		vi	vi							m	0	0	3, 0, 4		3	3
15	15	28	28	2.0	0	0	2/4	3	1	V7/iii	A	IV		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
16	16	30	30	2.0	0	0	2/4	3	1	vi	A	IV		vi	vi							m	0	0	3, 0, 4		3	3
17	17	32	32	1.0	0	0	2/4	3	1	V7/iii	A	IV		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
17	17	33	33	1.0	1/4	1/4	2/4	3	1	V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	34	34	0.75	0	0	2/4	3	1	V7(4)	A	IV		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
18	18	139/4	139/4	0.25	3/16	3/16	2/4	3	1	V7	A	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	35	35	0.5	1/4	1/4	2/4	3	1	vii%43	A	IV		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
18	18	71/2	71/2	0.5	3/8	3/8	2/4	3	1	V7/vi	A	IV		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
19	19	36	36	0.5	0	0	2/4	3	1	vi7(94)	A	IV		vi7(94)	vi		7	94				mm7	0	0	3, 2, 4, 1	5	3	3
19	19	73/2	73/2	1.5	1/8	1/8	2/4	3	1	I.V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
20	20	38	38	1.0	0	0	2/4	3	1	V7(9)	A	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
20	20	39	39	1.0	1/4	1/4	2/4	3	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	40	40	0.5	0	0	2/4	3	1	I(94)	A	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
21	21	81/2	81/2	0.5	1/8	1/8	2/4	3	1	I	A	I		I	I							M	0	0	0, 4, 1		0	0
21	21	41	41	1.0	1/4	1/4	2/4	3	1	V2/IV	A	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
22	22	42	42	1.0	0	0	2/4	3	1	IV6	A	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
22	22	43	43	1.0	1/4	1/4	2/4	3	1	IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	23	44	44	1.5	0	0	2/4	3	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
23	23	91/2	91/2	0.25	3/8	3/8	2/4	3	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	23	183/4	183/4	0.25	7/16	7/16	2/4	3	1	IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
24	24	46	46	1.0	0	0	2/4	3	1	V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
24	24	47	47	1.0	1/4	1/4	2/4	3	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	25	48	48	1.0	0	0	2/4	3	1	I[I(4)	A	I	I	I(4)	I			4				M	0	0	0, -1, 1		0	0
25	25	49	49	0.5	1/4	1/4	2/4	3	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
