mc	mn	onset	label
1	1	0	.E.I
2	2	0	I(42)
2	2	1/8	I
2	2	1/4	IV
2	2	5/8	I6
3	3	0	ii7(4)
3	3	1/8	V7
3	3	1/4	I
4	4	0	V6
4	4	1/8	I6
4	4	1/4	ii65/V
4	4	11/16	V7/V
5	5	0	I(4)/V\\
5	5	3/8	V7
6	6	0	I
6	6	1/4	IV
6	6	5/8	V43/ii
7	7	0	ii(#74)
7	7	1/8	ii
7	7	1/4	vi
7	7	5/8	vii%65/V
8	8	0	I6/V
8	8	1/8	vi/V
8	8	1/4	IV65/V
8	8	11/16	V/V
9	9	0	I/V\\
9	9	3/8	V7
9	9	5/8	V2
10	10	3/8	I6
10	10	1/2	V43
10	10	5/8	vi65
11	11	0	V65
11	11	1/4	I\\
11	11	5/8	V2
12	12	3/8	I6
12	12	1/2	V43
12	12	5/8	vi65
13	13	0	V65
13	13	1/4	I\\
13	13	5/8	IV[V7/bVII
14	14	5/8	I/bVII
15	15	0	V7(4)/bVII
15	15	1/4	V7/bVII]
15	15	5/8	IV6/bVII
16	16	0	vi[V65(42)/bVII
16	16	1/4	V65/bVII
16	16	3/8	V43/V
16	16	1/2	vi%65
17	17	0	V43(4)/V
17	17	1/4	V43/V]
17	17	3/8	V(#8)/V
17	17	1/2	V(6)
17	17	5/8	V7
18	18	0	I\\
18	18	1/4	IV
18	18	5/8	I6
19	19	0	ii7(4)
19	19	1/8	V7
19	19	1/4	I
20	20	0	V6
20	20	1/8	I6
20	20	1/4	ii65/V
20	20	11/16	V7/V
21	21	0	I(4)/V\\
21	21	3/8	V7
22	22	0	I
22	22	1/2	IV
22	22	11/16	I6
23	23	0	ii7(4)
23	23	1/8	V7
23	23	1/4	I
23	23	5/8	.Ger6
24	24	0	V(64)
24	24	1/8	IV
24	24	1/4	I6
24	24	5/8	V43
25	25	0	I\\
25	25	3/8	V7(+4)/iii
25	25	1/2	V7/vi
25	25	5/8	vi
26	26	0	vi%43
26	26	1/8	V7/V
26	26	1/4	V7(4)
26	26	1/2	V7
27	27	0	I(4)
27	27	1/4	I\\
