mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.e.i		e	i		i		i						m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/4	1	1	iv7		e	i		iv7		iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
4	4	0	0	4/4	1	1	V		e	i		V		V						M	1	1	1, 5, 2		1	1
4	4	1/2	1/2	4/4	1	1	i\\		e	i		i		i					\\	m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
6	6	0	0	4/4	1	1	iv		e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
6	6	1/2	1/2	4/4	1	1	i64	V(64)	e	i		i64		i		64				m	1	1	1, 0, -3		0	1
7	7	0	0	4/4	1	1	VI		e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
7	7	1/2	1/2	4/4	1	1	VI.IV		e	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
8	8	0	0	4/4	1	1	V		e	VI		V		V						M	1	0	1, 5, 2		1	1
8	8	1/2	1/2	4/4	1	1	I\\		e	VI		I		I					\\	M	1	0	0, 4, 1		0	0
9	9	1/2	1/2	4/4	1	1	I6		e	VI		I6		I		6				M	1	0	4, 1, 0		0	4
10	10	0	0	4/4	1	1	IV		e	VI		IV		IV						M	1	0	-1, 3, 0		-1	-1
10	10	1/2	1/2	4/4	1	1	ii7		e	VI		ii7		ii		7				mm7	1	0	2, -1, 3, 0		2	2
11	11	0	0	4/4	1	1	I6(+6)		e	VI		I6(+6)		I		6	+6			M	1	0	4, 1, 0	3	0	4
11	11	1/2	1/2	4/4	1	1	ii65		e	VI		ii65		ii		65				mm7	1	0	-1, 3, 0, 2		2	-1
12	12	0	0	4/4	1	1	V(+4)		e	VI		V(+4)		V			+4			M	1	0	1, 5, 2	0	1	1
12	12	1/2	1/2	4/4	1	1	IM65		e	VI		IM65		I	M	65				MM7	1	0	4, 1, 5, 0		0	4
