mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	2	0	.G.I	G	I		I	I						M	0	0	0, 4, 1		0	0
4	4	0	vi	G	I		vi	vi						m	0	0	3, 0, 4		3	3
4	4	3/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	I\\	G	I		I	I					\\	M	0	0	0, 4, 1		0	0
7	7	3/8	viio7/V	G	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
8	8	0	V.I	G	V		I	I						M	0	0	0, 4, 1		0	0
8	8	1/4	viio7/V	G	V		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
8	8	3/8	V7(4)	G	V		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
8	8	5/8	V7	G	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	0	I\\	G	V		I	I					\\	M	0	0	0, 4, 1		0	0
10	10	0	i	G	V		i	i						m	0	0	0, -3, 1		0	0
10	10	5/8	IV.V7	G	IV		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	I\\	G	IV		I	I					\\	M	0	0	0, 4, 1		0	0
12	12	5/8	.bIII.V	G	bIII		V	V						M	0	0	1, 5, 2		1	1
13	13	0	I	G	bIII		I	I						M	0	0	0, 4, 1		0	0
14	14	0	IV	G	bIII		IV	IV						M	0	0	-1, 3, 0		-1	-1
15	15	0	I	G	bIII		I	I						M	0	0	0, 4, 1		0	0
16	16	0	IV	G	bIII		IV	IV						M	0	0	-1, 3, 0		-1	-1
16	16	3/8	I.V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
17	17	0	V6\\	G	I		V6	V		6			\\	M	0	0	5, 2, 1		1	5
18	18	0	V7(+9)	G	I		V7(+9)	V		7	+9			Mm7	0	0	1, 5, 2, -1	3	1	1
19	19	0	V7(4)	G	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
19	19	3/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
20	20	0	V7(+9)	G	I		V7(+9)	V		7	+9			Mm7	0	0	1, 5, 2, -1	3	1	1
21	21	0	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
22	22	0	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
22	22	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1	1
22	22	5/8	I	G	I		I	I						M	0	0	0, 4, 1		0	0
23	23	3/8	vii%7	G	I		vii%7	vii	%	7				%7	0	0	5, 4, 11, 3		5	5
24	24	1/4	I	G	I		I	I						M	0	0	0, 4, 1		0	0
24	24	5/8	vii%7/V	G	I		vii%7/V	vii	%	7		V		%7	0	0	6, 5, 12, 4		6	6
25	25	0	V\\	G	I		V	V					\\	M	0	0	1, 5, 2		1	1
26	26	0	I	G	I		I	I						M	0	0	0, 4, 1		0	0
28	28	0	V43/V	G	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
28	28	3/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
29	29	0	I\\	G	I		I	I					\\	M	0	0	0, 4, 1		0	0
31	31	3/8	viio7/V	G	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
32	32	0	V.I	G	V		I	I						M	0	0	0, 4, 1		0	0
32	32	1/4	viio/V	G	V		viio/V	vii	o			V		o	0	0	6, 3, 0		6	6
32	32	3/8	V7(4)	G	V		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
32	32	5/8	V7	G	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
33	33	0	I\\	G	V		I	I					\\	M	0	0	0, 4, 1		0	0
33	33	3/8	I.V65/IV	G	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
34	34	1/4	IV	G	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
34	34	3/8	V7(64)	G	I		V7(64)	V		7	64			Mm7	0	0	1, 0, 4, -1		1	1
34	34	5/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
35	35	0	I\\	G	I		I	I					\\	M	0	0	0, 4, 1		0	0
36	36	3/8	V7(6)	G	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
36	36	5/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
37	37	0	I\\	G	I		I	I					\\	M	0	0	0, 4, 1		0	0
38	38	3/8	V(64)	G	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
38	38	5/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	I\\	G	I		I	I					\\	M	0	0	0, 4, 1		0	0
