mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.a.i	a	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/4	1	1	iio	a	i		iio	ii	o					o	1	1	2, -1, -4		2	2
2	2	0	0	2/4	1	1	i	a	i		i	i						m	1	1	0, -3, 1		0	0
2	2	1/8	1/8	2/4	1	1	i6	a	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
2	2	1/4	1/4	2/4	1	1	iv	a	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
2	2	3/8	3/8	2/4	1	1	V	a	i		V	V						M	1	1	1, 5, 2		1	1
3	3	0	0	2/4	1	1	i\\	a	i		i	i					\\	m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	2/4	1	1	v.iio	a	v		iio	ii	o					o	1	1	2, -1, -4		2	2
4	4	0	0	2/4	1	1	i	a	v		i	i						m	1	1	0, -3, 1		0	0
4	4	1/8	1/8	2/4	1	1	i6	a	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
4	4	1/4	1/4	2/4	1	1	iv	a	v		iv	iv						m	1	1	-1, -4, 0		-1	-1
4	4	3/8	3/8	2/4	1	1	V	a	v		V	V						M	1	1	1, 5, 2		1	1
5	5	0	0	2/4	1	1	i\\	a	v		i	i					\\	m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	2/4	1	1	i.iio	a	i		iio	ii	o					o	1	1	2, -1, -4		2	2
6	6	0	0	2/4	1	1	i	a	i		i	i						m	1	1	0, -3, 1		0	0
6	6	1/8	1/8	2/4	1	1	i6	a	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
6	6	1/4	1/4	2/4	1	1	iv	a	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
6	6	3/8	3/8	2/4	1	1	V	a	i		V	V						M	1	1	1, 5, 2		1	1
7	7	0	0	2/4	1	1	i\\	a	i		i	i					\\	m	1	1	0, -3, 1		0	0
7	7	1/4	1/4	2/4	1	1	v.iio	a	v		iio	ii	o					o	1	1	2, -1, -4		2	2
8	8	0	0	2/4	1	1	i	a	v		i	i						m	1	1	0, -3, 1		0	0
8	8	1/8	1/8	2/4	1	1	i6	a	v		i6	i		6				m	1	1	-3, 1, 0		0	-3
8	8	1/4	1/4	2/4	1	1	iv	a	v		iv	iv						m	1	1	-1, -4, 0		-1	-1
8	8	3/8	3/8	2/4	1	1	V	a	v		V	V						M	1	1	1, 5, 2		1	1
9	9	0	0	2/4	1	1	i\\	a	v		i	i					\\	m	1	1	0, -3, 1		0	0
9	9	1/4	1/4	2/4	1	1	vo	a	v		vo	v	o					o	1	1	1, -2, -5		1	1
10	10	0	0	2/4	1	1	iv.V7	a	iv		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
10	10	1/4	1/4	2/4	1	1	ii%43	a	iv		ii%43	ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
11	11	0	0	2/4	1	1	V7\\	a	iv		V7	V		7			\\	Mm7	1	1	1, 5, 2, -1		1	1
12	12	1/4	1/4	2/4	1	1	iv%43	a	iv		iv%43	iv	%	43				%7	1	1	-7, -3, -1, -4		-1	-7
13	13	0	0	2/4	1	1	V7\\	a	iv		V7	V		7			\\	Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	2/4	1	1	III.iv6	a	III		iv6	iv		6				m	1	0	-4, 0, -1		-1	-4
14	14	1/4	1/4	2/4	1	1	.bVII	a	III		bVII	bVII						M	1	0	-2, 2, -1		-2	-2
14	14	3/8	3/8	2/4	1	1	iv6	a	III		iv6	iv		6				m	1	0	-4, 0, -1		-1	-4
15	15	0	0	2/4	1	1	V7	a	III		V7	V		7				Mm7	1	0	1, 5, 2, -1		1	1
16	16	1/4	1/4	2/4	1	1	.VII	a	III		VII	VII						M	1	0	5, 9, 6		5	5
16	16	7/16	7/16	2/4	1	1	iv6	a	III		iv6	iv		6				m	1	0	-4, 0, -1		-1	-4
17	17	0	0	2/4	1	1	V7\\	a	III		V7	V		7			\\	Mm7	1	0	1, 5, 2, -1		1	1
17	17	7/16	7/16	2/4	1	1	i.V6	a	i		V6	V		6				M	1	1	5, 2, 1		1	5
18	18	0	0	2/4	1	1	i	a	i		i	i						m	1	1	0, -3, 1		0	0
18	18	1/8	1/8	2/4	1	1	i6	a	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
18	18	1/4	1/4	2/4	1	1	iv	a	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
18	18	3/8	3/8	2/4	1	1	V	a	i		V	V						M	1	1	1, 5, 2		1	1
19	19	0	0	2/4	1	1	i\\	a	i		i	i					\\	m	1	1	0, -3, 1		0	0
