mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/4	3	1	E.I	E	I		I		I							M	0	0	0, 4, 1		0	0
2	2	3	1.0	0	0	3/4	3	1	V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
2	2	4	2.0	1/4	1/4	3/4	3	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
3	3	6	1.0	0	0	3/4	3	1	I(64)	E	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
3	3	7	2.0	1/4	1/4	3/4	3	1	I	E	I		I		I							M	0	0	0, 4, 1		0	0
4	4	9	1.0	0	0	3/4	3	1	V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	10	2.0	1/4	1/4	3/4	3	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
5	5	12	1.0	0	0	3/4	3	1	I(64)	E	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
5	5	13	2.0	1/4	1/4	3/4	3	1	I\\	E	I		I		I						\\	M	0	0	0, 4, 1		0	0
6	6	15	1.0	0	0	3/4	3	1	V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
6	6	16	2.0	1/4	1/4	3/4	3	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
7	7	18	1.0	0	0	3/4	3	1	I(64)	E	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
7	7	19	2.0	1/4	1/4	3/4	3	1	I	E	I		I		I							M	0	0	0, 4, 1		0	0
8	8	21	1.0	0	0	3/4	3	1	V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	22	2.0	1/4	1/4	3/4	3	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
9	9	24	3.0	0	0	3/4	3	1	I\\	E	I		I		I						\\	M	0	0	0, 4, 1		0	0
10	10	27	3.0	0	0	3/4	3	1	V7/vii	E	I		V7/vii		V		7		vii			Mm7	0	0	6, 10, 7, 4		6	6
11	11	30	2.0	0	0	3/4	3	1	vii	E	I		vii		vii							m	0	0	5, 2, 6		5	5
11	11	32	1.0	1/2	1/2	3/4	3	1	V7/vi	E	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
12	12	33	2.0	0	0	3/4	3	1	vi	E	I		vi		vi							m	0	0	3, 0, 4		3	3
12	12	35	1.0	1/2	1/2	3/4	3	1	V7/V	E	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
13	13	36	1.0	0	0	3/4	3	1	V	E	I		V		V							M	0	0	1, 5, 2		1	1
13	13	37	2.0	1/4	1/4	3/4	3	1	V2	E	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	39	2.0	0	0	3/4	3	1	V(64)	E	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
14	14	41	1.0	1/2	1/2	3/4	3	1	V7	E	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	42	9.0	0	0	3/4	3	1	bVI.I[I\\	E	bVI	I	I		I						\\	M	0	0	0, 4, 1		0	0
18	18	51	3.0	0	0	3/4	3	1	IV	E	bVI	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
19	19	54	3.0	0	0	3/4	3	1	V	E	bVI	I	V		V							M	0	0	1, 5, 2		1	1
20	20	57	6.0	0	0	3/4	3	1	I\\	E	bVI	I	I		I						\\	M	0	0	0, 4, 1		0	0
22	22	63	3.0	0	0	3/4	3	1	viio43/V	E	bVI	I	viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
