mc	mn	onset	label
1	1	1/8	.A.I64
3	3	0	I
4	4	0	I(9)
4	4	3/8	V[I
5	5	0	vi
5	5	3/8	V/ii
6	6	0	ii
6	6	3/8	V7]
7	7	0	I\\
7	7	3/8	I64
9	9	0	I
10	10	0	I(9)
10	10	3/8	V[I
11	11	0	vi
11	11	3/8	V/ii
12	12	0	ii
12	12	3/8	V7]
13	13	0	I\\
14	14	0	IV.IV
15	15	0	I[I
16	16	0	V7
17	17	0	I]
18	18	0	IV
19	19	0	I[I
20	20	0	V7
21	21	0	I]\\
22	22	0	VI.I64
23	23	3/8	I
26	26	0	vii.v65
26	26	3/8	V65
27	27	0	i
27	27	1/4	iio6
27	27	3/8	V(64)
27	27	5/8	V
28	28	0	i\\
28	28	3/8	i64
29	29	1/4	i
31	31	0	I(9)
31	31	3/8	i
32	32	0	I.V6
32	32	3/8	V
33	33	0	vi7
33	33	3/8	V6
34	34	0	I
34	34	3/8	vi7
35	35	0	V6
35	35	3/8	I
36	36	0	V43
36	36	3/8	V6
37	37	0	I
37	37	3/8	V43
38	38	0	I6
38	38	3/8	I
39	39	0	V2
39	39	3/8	I6
40	40	0	V43
41	41	0	I
41	41	3/8	i
42	42	0	V\\
43	43	0	v
44	44	0	ii
44	44	5/8	viio6
45	45	0	I6
46	46	0	V(4)
47	47	0	V
48	48	0	I(64)
50	50	0	I\\
