mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	3	1	a.i	a	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	3	1	iio	a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
2	2	2	0.5	0	0	2/4	3	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	5/2	0.5	1/8	1/8	2/4	3	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	0.5	1/4	1/4	2/4	3	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	7/2	0.5	3/8	3/8	2/4	3	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
3	3	4	1.0	0	0	2/4	3	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
3	3	5	1.0	1/4	1/4	2/4	3	1	v.iio	a	v		iio	ii	o						o	1	1	2, -1, -4		2	2
4	4	6	0.5	0	0	2/4	3	1	i	a	v		i	i							m	1	1	0, -3, 1		0	0
4	4	13/2	0.5	1/8	1/8	2/4	3	1	i6	a	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	7	0.5	1/4	1/4	2/4	3	1	iv	a	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	15/2	0.5	3/8	3/8	2/4	3	1	V	a	v		V	V							M	1	1	1, 5, 2		1	1
5	5	8	1.0	0	0	2/4	3	1	i\\	a	v		i	i						\\	m	1	1	0, -3, 1		0	0
5	5	9	1.0	1/4	1/4	2/4	3	1	i.iio	a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
6	6	10	0.5	0	0	2/4	3	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	6	21/2	0.5	1/8	1/8	2/4	3	1	i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	11	0.5	1/4	1/4	2/4	3	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	23/2	0.5	3/8	3/8	2/4	3	1	V	a	i		V	V							M	1	1	1, 5, 2		1	1
7	7	12	1.0	0	0	2/4	3	1	i\\	a	i		i	i						\\	m	1	1	0, -3, 1		0	0
7	7	13	1.0	1/4	1/4	2/4	3	1	v.iio	a	v		iio	ii	o						o	1	1	2, -1, -4		2	2
8	8	14	0.5	0	0	2/4	3	1	i	a	v		i	i							m	1	1	0, -3, 1		0	0
8	8	29/2	0.5	1/8	1/8	2/4	3	1	i6	a	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	8	15	0.5	1/4	1/4	2/4	3	1	iv	a	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	8	31/2	0.5	3/8	3/8	2/4	3	1	V	a	v		V	V							M	1	1	1, 5, 2		1	1
9	9	16	1.0	0	0	2/4	3	1	i\\	a	v		i	i						\\	m	1	1	0, -3, 1		0	0
9	9	17	1.0	1/4	1/4	2/4	3	1	vo	a	v		vo	v	o						o	1	1	1, -2, -5		1	1
10	10	18	1.0	0	0	2/4	3	1	iv.V7	a	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	19	1.0	1/4	1/4	2/4	3	1	ii%43	a	iv		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
11	11	20	3.0	0	0	2/4	3	1	V7\\	a	iv		V7	V		7				\\	Mm7	1	1	1, 5, 2, -1		1	1
12	12	23	1.0	1/4	1/4	2/4	3	1	iv%43	a	iv		iv%43	iv	%	43					%7	1	1	-7, -3, -1, -4		-1	-7
13	13	24	2.0	0	0	2/4	3	1	V7\\	a	iv		V7	V		7				\\	Mm7	1	1	1, 5, 2, -1		1	1
14	14	26	1.0	0	0	2/4	3	1	III.iv6	a	III		iv6	iv		6					m	1	0	-4, 0, -1		-1	-4
14	14	27	0.5	1/4	1/4	2/4	3	1	bVII	a	III		bVII	bVII							M	1	0	-2, 2, -1		-2	-2
14	14	55/2	0.5	3/8	3/8	2/4	3	1	iv6	a	III		iv6	iv		6					m	1	0	-4, 0, -1		-1	-4
15	15	28	3.0	0	0	2/4	3	1	V7	a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
16	16	31	0.75	1/4	1/4	2/4	3	1	bVII	a	III		bVII	bVII							M	1	0	-2, 2, -1		-2	-2
